configuration,candidates,ode_steps,planned_collision_rate,planned_margin_violation_rate,planned_mean_maximum_speed_mps,planned_mean_maximum_acceleration_mps2,execution_margin_violation_rate,execution_mean_minimum_separation_m,execution_hocbf_intervention_rate,execution_hocbf_mean_correction,execution_expert_rmse_m,batch_ms_per_condition,single_query_median_ms,single_query_p99_ms
1 candidate / 16 steps,1,16,0.0078125,0.8203125,1.3594935225540725,2.1161307896325687,0.00390625,0.41573611634221597,0.1132883393829401,0.5849377315179394,0.011167903730915888,16.803359765617643,63.27369995415211,78.78550403751433
4 candidates / 8 steps,4,8,0.0,0.515625,1.3585121904846584,2.1386267803017494,0.00390625,0.42429399619039465,0.0967771665154265,0.48983432454239706,0.010561263484738055,34.71180742144497,83.96910014562309,96.00938808172941
8 candidates / 16 steps,8,16,0.0,0.28125,1.3504280302743603,2.059503597924259,0.00390625,0.42621086517550033,0.08813520871143377,0.4043431637159471,0.009798598314583268,138.2900910157332,252.37960007507354,308.30509603954846
