seed,scenario_index,method,nominal_crossing_0_s,nominal_crossing_1_s,nash_action_0,nash_action_1,nominal_priority_agent,delay_0_s,delay_1_s,both_passed,collision,deadlock,minimum_separation_m,crossing_time_0_s,crossing_time_1_s,crossing_gap_s,completion_time_s,payoff_0,payoff_1,social_payoff,hocbf_intervention_rate,mean_hocbf_correction,maximum_acceleration_mps2
1,0,independent,2.3838604523185567,2.193688936196601,yield,go,1,0.0,0.0,1,1,0,0.10374290886749882,2.416722022462871,2.2300392201534645,0.1866828023094067,2.416722022462871,-20.0,-20.0,-40.0,0.0,0.0,1.6016490055915882
1,0,fixed_priority,2.3838604523185567,2.193688936196601,yield,go,1,0.0,0.8,1,0,0,0.3758641960603637,2.416722022462871,3.0296915935826076,0.6129695711197365,3.0296915935826076,8.791638988768565,5.485154203208696,14.27679319197726,0.0,0.0,1.6119725359834858
1,0,hocbf_only,2.3838604523185567,2.193688936196601,yield,go,1,0.0,0.0,1,0,0,0.3607688851309259,2.5663439904252874,2.0765722389675467,0.48977175145774066,2.5663439904252874,5.716828004787356,8.961713880516227,14.678541885303583,0.3971486761710794,0.8194290727551096,1.6031249573235042
1,0,nash_game,2.3838604523185567,2.193688936196601,yield,go,1,0.8,0.0,1,0,0,0.660440723089229,3.2163643019754793,2.2300392201534645,0.9863250818220148,3.2163643019754793,5.39181784901226,8.884980389923268,14.276798238935527,0.0,0.0,1.6016490055915882
1,0,nash_game_hocbf,2.3838604523185567,2.193688936196601,yield,go,1,0.8,0.0,1,0,0,0.660440723089229,3.2163643019754793,2.2300392201534645,0.9863250818220148,3.2163643019754793,5.39181784901226,8.884980389923268,14.276798238935527,0.0,0.0,1.6016490055915882
1,1,independent,1.7561320966724738,1.9190005953313891,go,yield,0,0.0,0.0,1,1,0,0.0964351804194531,1.773608727403528,1.9424682401703388,0.16885951276681088,1.9424682401703388,-20.0,-20.0,-40.0,0.0,0.0,2.203034909233845
1,1,fixed_priority,1.7561320966724738,1.9190005953313891,go,yield,0,0.0,0.8,1,0,0,0.5401029949681742,1.773608727403528,2.7424901041317304,0.9688813767282025,2.7424901041317304,9.113195636298236,5.628754947934135,14.74195058423237,0.0,0.0,2.203034909233845
1,1,hocbf_only,1.7561320966724738,1.9190005953313891,go,yield,0,0.0,0.0,1,0,0,0.3671624736173741,1.650575481860292,2.06980203843161,0.419226556571318,2.06980203843161,9.174712259069853,5.9650989807841945,15.139811239854048,0.3665158371040724,0.9584357354273736,2.1707050900901366
1,1,nash_game,1.7561320966724738,1.9190005953313891,go,yield,0,0.0,0.8,1,0,0,0.5401029949681742,1.773608727403528,2.7424901041317304,0.9688813767282025,2.7424901041317304,9.113195636298236,5.628754947934135,14.74195058423237,0.0,0.0,2.203034909233845
1,1,nash_game_hocbf,1.7561320966724738,1.9190005953313891,go,yield,0,0.0,0.8,1,0,0,0.5401029949681742,1.773608727403528,2.7424901041317304,0.9688813767282025,2.7424901041317304,9.113195636298236,5.628754947934135,14.74195058423237,0.04789272030651341,0.3459197682716144,2.203034909233845
