method,ode_steps,num_seeds,success_rate_mean,success_rate_std,ring_pass_rate_mean,ring_pass_rate_std,collision_free_rate_mean,collision_free_rate_std,dynamic_feasibility_rate_mean,dynamic_feasibility_rate_std,endpoint_feasibility_rate_mean,endpoint_feasibility_rate_std,mean_maximum_speed_mean,mean_maximum_speed_std,mean_maximum_acceleration_mean,mean_maximum_acceleration_std,mean_path_length_mean,mean_path_length_std,trajectory_rmse_to_expert_mean,trajectory_rmse_to_expert_std,end_to_end_ms_per_trajectory_mean,end_to_end_ms_per_trajectory_std,ode_ms_per_trajectory_mean,ode_ms_per_trajectory_std,mean_residual_scale_mean,mean_residual_scale_std,cbf_intervention_rate_mean,cbf_intervention_rate_std
boundary_trajectory,1,3,0.0,0.0,0.8880208333333334,0.027436598314720673,0.8880208333333334,0.027436598314720673,0.0,0.0,1.0,0.0,18.40609648095677,0.051657862804728935,311.3435180086936,3.5832485731437838,35.23754946774897,0.17064667639807984,0.27574876096745776,0.0008083658871276911,0.48254322973662056,0.04734013830846324,0.33790807295493624,0.02841043122474238,1.0,0.0,0.0,0.0
boundary_trajectory,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.7154468724827865,0.07791910923581384,118.09256482196842,1.9478237109763987,13.559304513965381,0.03228912404325831,0.22800592769398378,0.001157922936152112,0.9098630210549649,0.023991256876287722,0.7644460929441266,0.019844263657565597,1.0,0.0,0.0,0.0
boundary_trajectory,4,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.864569052844982,0.08519218492524457,55.12093664499395,0.5613352891071822,7.109142261534708,0.03844877828240123,0.24539574113281212,0.001434536191344306,1.5389153650176013,0.185551361123636,1.3880085934943054,0.19085752493792427,1.0,0.0,0.0,0.0
boundary_trajectory,8,3,0.0,0.0,0.9973958333333334,0.004510548978043951,0.9973958333333334,0.004510548978043951,0.0,0.0,1.0,0.0,4.316451121989142,0.07579353914535684,34.28081301902293,1.3413468767292485,5.151610812148063,0.0035621910446141016,0.25200357705151955,0.0014265405746112564,3.016141927218996,0.4285849228894704,2.859950260244659,0.4160566885627056,1.0,0.0,0.0,0.0
boundary_trajectory,16,3,0.0,0.0,0.9973958333333334,0.004510548978043951,0.9973958333333334,0.004510548978043951,0.0,0.0,1.0,0.0,4.237834172188273,0.08076436145182932,30.23012030998801,1.3742941917927884,4.803828518047991,0.009612587577818747,0.25404487859415853,0.0013810571143451646,6.093269791866381,0.41199875309449807,5.949914844071221,0.40632522348839206,1.0,0.0,0.0,0.0
boundary_trajectory,32,3,0.0,0.0,0.9973958333333334,0.004510548978043951,0.9973958333333334,0.004510548978043951,0.0,0.0,1.0,0.0,4.149422475466953,0.0771875552252326,28.248111127862177,1.2929573044638356,4.685175015743106,0.010762377525485095,0.25362972813159357,0.0013232113255558378,11.63200494799336,0.1335706854069284,11.478096354039735,0.15263411630064316,1.0,0.0,0.0,0.0
boundary_trajectory,64,3,0.0,0.0,0.9973958333333334,0.004510548978043951,0.9973958333333334,0.004510548978043951,0.0,0.0,1.0,0.0,4.069688049726239,0.07767285096093121,27.13609381221153,1.2854423160141717,4.617898865445139,0.011751550898373105,0.2514297781702248,0.00138268005710618,22.256001301987755,0.5958228461454815,22.105528124787572,0.5917741454531295,1.0,0.0,0.0,0.0
projected_velocity,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4817708333333333,0.02957764763437643,1.3455311386873356,0.0019530618224708046,8.98332587823912,0.3466546501983419,3.7127717527206934,0.001584660085143028,0.1105152698655469,0.0006334204923912812,0.48982265555726673,0.05522667951590441,0.3767710938215411,0.05708520774769674,1.0,0.0,0.0,0.0
projected_velocity,2,3,0.13541666666666666,0.019661027175184247,1.0,0.0,1.0,0.0,0.13541666666666666,0.019661027175184247,0.9973958333333334,0.004510548978043951,1.2244418914861868,0.004452234296426422,4.138733570308153,0.10123328601388545,3.640993390808204,0.0008470736279036176,0.13189699447833333,0.0029672451537589113,0.8387796885169033,0.06331090536879719,0.7288992195147633,0.06674746075094429,1.0,0.0,0.0,0.0
projected_velocity,4,3,0.5911458333333334,0.044423755492791615,1.0,0.0,1.0,0.0,0.5911458333333334,0.044423755492791615,1.0,0.0,1.2218884603698357,0.0025667342869912647,2.98557385619263,0.07584058303507626,3.6318159355415305,0.0005391965986059763,0.1461676854530512,0.003841565025739796,1.7154721354017965,0.2524664133282803,1.617282291893692,0.252790172138133,1.0,0.0,0.0,0.0
projected_velocity,8,3,0.7083333333333334,0.04302789490067267,1.0,0.0,1.0,0.0,0.7083333333333334,0.04302789490067267,1.0,0.0,1.219506127694015,0.0015954927474674243,2.704096834697474,0.06961872376484365,3.630229501423996,0.000477045342433298,0.15002213533257194,0.004146586802800077,2.943863020846038,0.17058953516491734,2.8306320309638977,0.1771682634185982,1.0,0.0,0.0,0.0
projected_velocity,16,3,0.71875,0.04878904686248749,1.0,0.0,1.0,0.0,0.71875,0.04878904686248749,1.0,0.0,1.2231549408113602,0.0015241205826678349,2.64856709386717,0.06841926038569059,3.6302342482261305,0.0004310652873949273,0.1518235628829028,0.0042797528795343485,6.313467187283095,0.7237051424413252,6.198604166759954,0.7206917982110418,1.0,0.0,0.0,0.0
projected_velocity,32,3,0.7265625,0.05122998847110938,1.0,0.0,1.0,0.0,0.7265625,0.05122998847110938,1.0,0.0,1.229087742282314,0.001563280503899294,2.630849278177895,0.0679897018444725,3.630726791174864,0.00043254464441697474,0.15370725736462368,0.0043925451271549796,11.216257031264831,0.14000368827190404,11.108054167683198,0.14410078996581988,1.0,0.0,0.0,0.0
projected_velocity,64,3,0.7291666666666666,0.05863713671457137,1.0,0.0,1.0,0.0,0.7291666666666666,0.05863713671457137,1.0,0.0,1.2261704809294673,0.0015751922853236902,2.6118905308129694,0.06597403883236708,3.630678624846599,0.00043622495411318194,0.15325326841339226,0.004350997798170784,23.044634635274026,0.777327457761888,22.943305208173115,0.7774759550108945,1.0,0.0,0.0,0.0
