method,ode_steps,seed,num_trajectories,success_rate,ring_pass_rate,collision_free_rate,dynamic_feasibility_rate,endpoint_feasibility_rate,minimum_barrier,mean_minimum_barrier,mean_crossing_clearance,mean_maximum_speed,maximum_speed,mean_maximum_acceleration,maximum_acceleration,mean_path_length,mean_start_position_error,mean_goal_position_error,trajectory_rmse_to_expert,ode_ms_per_trajectory,end_to_end_ms_per_trajectory,mean_residual_scale,cbf_intervention_rate
raw_trajectory,1,401,128,0.0,0.109375,0.109375,0.0,0.0,-0.0369845413115029,-0.018665849179300614,0.3356905858777585,57.0849405716897,117.63645076304736,1586.2497923077435,4430.295998185505,125.3315244898241,1.089062218700836,1.0304164916543783,0.8941145154973961,0.48838125076144934,0.4908289065497229,1.0,0.0
raw_trajectory,1,402,128,0.0,0.0703125,0.0703125,0.0,0.0,-0.0364874089009106,-0.021115460179200154,0.32812444653925,52.76705200222327,125.4912105399648,1543.3730981994895,3470.9055762102053,126.53457841191312,0.9798539625896608,0.9427121211481528,0.8938037829984141,0.3711031258717412,0.37316953057597857,1.0,0.0
raw_trajectory,1,403,128,0.0,0.1015625,0.1015625,0.0,0.0,-0.037168731616996076,-0.02101215343880919,0.35108052405554785,53.021009687807805,114.74005266187879,1533.6627121880713,4814.720520733565,127.43819778382097,1.010732366970731,0.9620324427724718,0.9083687817719718,0.4473710941965692,0.45026953193882946,1.0,0.0
raw_trajectory,2,401,128,0.0,0.8828125,0.8828125,0.0,0.0,-0.026415336228600726,0.09013315013286305,0.35023996454862577,23.09739382192963,52.260371622044254,623.286291617715,2051.650857912178,49.603517046613945,0.6640183730070536,0.6811504645096328,0.7041938823941019,0.7307671876333188,0.7329421878239373,1.0,0.0
raw_trajectory,2,402,128,0.0,0.9453125,0.9453125,0.0,0.0,-0.033026099965940685,0.09728135221908366,0.33645406898094593,22.08873156227808,44.09791701092602,622.9813271134349,1517.3955463530597,49.5555218881434,0.59796144668118,0.6359486495861317,0.7060694235487214,0.6819874997745501,0.6848156244814163,1.0,0.0
raw_trajectory,2,403,128,0.0,0.90625,0.90625,0.0,0.0,-0.02866384403221126,0.09240612659483544,0.3577079836615346,21.05126421844583,43.10834930315953,606.418695700266,1593.5502493980625,49.74079889756055,0.6439403945379523,0.6352681827371269,0.7243242238716079,0.691317187374807,0.6934484390512807,1.0,0.0
raw_trajectory,4,401,128,0.0,1.0,1.0,0.0,0.0,0.02513615184481001,0.19860833514798137,0.3786274489086734,12.330290024242284,27.3044798564481,308.6729584299989,846.0338201040383,23.08820020681243,0.4990382645841848,0.5572908056829486,0.7045795559951599,1.542195312140393,1.5444101554749068,1.0,0.0
raw_trajectory,4,402,128,0.0,1.0,1.0,0.0,0.0,0.03418085130344387,0.2051162940861041,0.3900842155650124,11.81187160371933,25.139427293356288,283.1226557712061,687.0793895370338,22.71842275167377,0.4689314473448011,0.5214859660105875,0.7092446907600867,1.3328367185749812,1.3354687489481876,1.0,0.0
raw_trajectory,4,403,128,0.0,1.0,1.0,0.0,0.0,0.01637129069762379,0.20943456811056224,0.3886221032591245,10.617266745864978,21.848799424850757,271.0090841432539,708.6068702550475,22.55444447958606,0.49919684938352815,0.5309139853383467,0.729248466616138,1.3674265628651483,1.3701515636057593,1.0,0.0
raw_trajectory,8,401,128,0.0,1.0,1.0,0.0,0.0,0.048230348412288904,0.23957917305549725,0.3872736899135012,9.262362441236206,29.27534165908934,202.59473837002054,698.2659038404921,14.559560716104599,0.4642062401757052,0.5264321294329832,0.7126695796264421,2.80326249958307,2.805371876092977,1.0,0.0
raw_trajectory,8,402,128,0.0,1.0,1.0,0.0,0.0,0.041728315666764076,0.24409782386705595,0.39970792859755244,8.759368641099947,26.308497955295156,182.3435058313526,720.8956156073319,14.14945576017153,0.43989362164078194,0.49045430345766305,0.7183353153554936,2.9944960933789844,2.9963054694235325,1.0,0.0
raw_trajectory,8,403,128,0.0,1.0,1.0,0.0,0.0,0.039673156087877484,0.24923168214035482,0.40117296373298295,8.267784974864991,17.74314415243559,169.4284749614735,479.643402242535,13.899909853228676,0.46013799710557446,0.507089752103588,0.7391656690476094,2.7025296876672655,2.7045749993703794,1.0,0.0
raw_trajectory,16,401,128,0.0,1.0,1.0,0.0,0.0,0.057179496639425356,0.2471629700749881,0.38965107672752786,8.59066718171803,28.883148393587067,175.33294769046992,678.8311357131078,12.918190234973913,0.45776619887543524,0.5162159062798569,0.7171518784835446,7.191086719103623,7.19413359365717,1.0,0.0
raw_trajectory,16,402,128,0.0,1.0,1.0,0.0,0.0,0.04378063796838706,0.25247271917694397,0.4003513797453391,8.155125211858426,26.498496378803523,160.20797864538025,723.28814165959,12.589211019662184,0.4339926626826289,0.4805055026088473,0.7232072252651526,4.550214842311107,4.552386719296919,1.0,0.0
raw_trajectory,16,403,128,0.0,1.0,1.0,0.0,0.0,0.04849772278175145,0.25640555979241875,0.4017002598864219,7.854853685446191,17.701850900850165,149.04291780283114,480.454736958053,12.244061881534494,0.45066080706378575,0.49661441910681275,0.7442329070818969,5.828697656397708,5.830578907989548,1.0,0.0
raw_trajectory,32,401,128,0.0,1.0,1.0,0.0,0.0,0.05903889265806653,0.24872964018833055,0.3899598575821029,8.326758830000788,28.252816837770858,165.8286743271699,661.1198479887536,12.506668523687663,0.45644229098577865,0.5134586610243905,0.7186236932374254,11.326507812555064,11.329671095154481,1.0,0.0
raw_trajectory,32,402,128,0.0,1.0,1.0,0.0,0.0,0.048059637907361716,0.25425860340168066,0.4001817869836855,7.9629575386803335,26.201508784360385,153.3527015504384,713.4607512800841,12.187629589882999,0.43316818903159066,0.47697593759552104,0.7246804469819075,11.130234375741566,11.132893750982475,1.0,0.0
raw_trajectory,32,403,128,0.0,1.0,1.0,0.0,0.0,0.04802968198427125,0.2578421513564814,0.4020067309180564,7.67807904930589,17.494816869143918,141.97981428821834,471.2007438925941,11.820144819192567,0.4486897891292825,0.4933470955724166,0.7455428043040945,10.868544532058877,10.871073436646839,1.0,0.0
