method,ode_steps,queries,median_ms,p95_ms,p99_ms,mean_ms,std_ms,success_rate
boundary_trajectory,1,128,3.8916500000000003,5.0775749999999995,5.893032000000002,4.04060234375,0.6425453478239583,0.0
boundary_trajectory,4,128,11.8574,16.228495,20.634066000000008,12.444128125,2.1596752338576715,0.0
boundary_trajectory,8,128,21.675150000000002,27.37857,28.356889000000002,22.532842968749996,2.417971639298962,0.0
boundary_trajectory,16,128,43.59375,52.1871,63.069553000000035,44.45137109375,4.738134229711538,0.0
projected_velocity,1,128,3.39755,4.936625,5.410899000000001,3.56215703125,0.6948186117665954,0.0
projected_velocity,4,128,11.453050000000001,14.044585,15.667690000000002,11.65472421875,1.3680969625204393,0.6015625
projected_velocity,8,128,20.614150000000002,28.091829999999998,31.21758200000001,21.7921328125,2.943432739343783,0.703125
projected_velocity,16,128,42.0774,49.615624999999994,56.313610000000004,43.269778906250004,4.279206500651825,0.7109375
proposed_safe,1,128,46.93295,117.26906499999998,132.68190700000002,58.462039843750006,26.699496735592447,1.0
proposed_safe,4,128,62.466350000000006,313.1031749999997,535.9463030000002,103.55875546875,96.3200635199893,1.0
proposed_safe,8,128,77.0616,562.32004,1070.0385250000002,178.7115859375,203.51967858350613,1.0
proposed_safe,16,128,110.29034999999999,1130.6647599999994,2141.390077000001,326.353853125,423.3421888177252,1.0
quintic_skeleton,0,128,0.19495,0.31275,0.34647900000000004,0.221884375,0.0497526803575034,1.0
