method,ode_steps,query_index,latency_ms,success,maximum_speed,maximum_acceleration
quintic_skeleton,0,0,0.1758,1,1.5356695018452138,1.097588819982048
quintic_skeleton,0,1,0.1943,1,1.795929688900892,1.2296747327816235
quintic_skeleton,0,2,0.2057,1,1.1987298449231512,0.6326301407279208
quintic_skeleton,0,3,0.1939,1,1.1978177180145946,0.7255862237280561
quintic_skeleton,0,4,0.1977,1,1.2867960229389204,0.7250862053029874
quintic_skeleton,0,5,0.1876,1,1.3244457589255683,0.8105515153103439
quintic_skeleton,0,6,0.1875,1,1.3067726929544208,0.6731223553414297
quintic_skeleton,0,7,0.193,1,1.2815173836195188,0.8032299991522596
quintic_skeleton,0,8,0.1841,1,1.1757002105099408,0.6799152929145684
quintic_skeleton,0,9,0.1848,1,1.7994802958856417,1.28231794806035
quintic_skeleton,0,10,0.201,1,0.9970438272478653,0.5400992556990377
quintic_skeleton,0,11,0.1968,1,1.0971836924563736,0.5772395684946311
quintic_skeleton,0,12,0.187,1,1.2515679203192052,0.664018475924988
quintic_skeleton,0,13,0.1851,1,1.1931499039155753,0.7017872787410018
quintic_skeleton,0,14,0.184,1,1.6938971594860983,1.2472193479194214
quintic_skeleton,0,15,0.1894,1,1.330604508361187,0.7865520854887152
quintic_skeleton,0,16,0.1843,1,1.7193902360968238,1.242269416417385
quintic_skeleton,0,17,0.1876,1,1.6398312167880942,1.1908903238816233
quintic_skeleton,0,18,0.1857,1,1.252192332526791,0.6481761548638267
quintic_skeleton,0,19,0.1847,1,1.2409936296658517,0.7658729955229333
quintic_skeleton,0,20,0.1841,1,1.1232232188152134,0.5782317033061747
quintic_skeleton,0,21,0.1857,1,1.301339365205175,0.8305748547240851
quintic_skeleton,0,22,0.1999,1,1.1673639891239258,0.7133915552489607
quintic_skeleton,0,23,0.1922,1,1.3320109572328083,0.8663230196443805
quintic_skeleton,0,24,0.1883,1,1.054917055086804,0.5430629272678458
quintic_skeleton,0,25,0.3145,1,1.1729808835226179,0.762595257373895
quintic_skeleton,0,26,0.2975,1,1.508754353501078,1.1468325562391415
quintic_skeleton,0,27,0.2975,1,1.1007556596072035,0.6012421893639552
quintic_skeleton,0,28,0.302,1,1.507310733198385,0.9342676636810813
quintic_skeleton,0,29,0.304,1,1.683763378563063,1.1908819772369188
quintic_skeleton,0,30,0.289,1,1.6475232150907466,1.209496276027556
quintic_skeleton,0,31,0.2859,1,1.1544713503314235,0.6452864926603351
quintic_skeleton,0,32,0.1995,1,1.5275683103412852,1.107899805277605
quintic_skeleton,0,33,0.1919,1,1.3577742856150314,0.8104458626908946
quintic_skeleton,0,34,0.1871,1,1.260624472308644,0.7189293091204301
quintic_skeleton,0,35,0.1988,1,1.6302113472175868,1.242225687810338
quintic_skeleton,0,36,0.1866,1,1.5529500944562586,1.1163867363529292
quintic_skeleton,0,37,0.1865,1,1.4014549436084398,0.8258249468576558
quintic_skeleton,0,38,0.1867,1,1.28830710110638,0.7907823509234273
quintic_skeleton,0,39,0.1839,1,1.6068597555392627,1.2127858331253514
quintic_skeleton,0,40,0.1853,1,1.3265032508676953,0.8208295634017341
quintic_skeleton,0,41,0.2724,1,1.1661144152492402,0.6765565622529048
quintic_skeleton,0,42,0.2019,1,1.2225398193696377,0.7053432445863499
quintic_skeleton,0,43,0.1877,1,1.5080116022129764,0.9141555993178007
quintic_skeleton,0,44,0.1851,1,1.1561076809858988,0.6429330820641114
quintic_skeleton,0,45,0.1935,1,1.5917776002900428,1.035539775295303
quintic_skeleton,0,46,0.1842,1,1.3808482493773364,0.8819148828280949
quintic_skeleton,0,47,0.187,1,1.4690763675743477,0.983854247629195
quintic_skeleton,0,48,0.1837,1,1.5368025268139938,1.0923898365058753
quintic_skeleton,0,49,0.2197,1,1.5876105340994007,1.1624315105189782
quintic_skeleton,0,50,0.1905,1,1.135142181529265,0.61298082664361
quintic_skeleton,0,51,0.1857,1,1.509827809661976,1.1032528772365335
quintic_skeleton,0,52,0.1873,1,1.1132205127984534,0.5725193873509317
quintic_skeleton,0,53,0.1862,1,1.09229713636028,0.6191661930228876
quintic_skeleton,0,54,0.188,1,1.279735150047937,0.7077858707512734
quintic_skeleton,0,55,0.1858,1,1.25675519252486,0.7362906918905485
quintic_skeleton,0,56,0.1995,1,1.4585368395551617,1.0306741090756508
quintic_skeleton,0,57,0.2151,1,1.2433645877930197,0.7707280159586571
quintic_skeleton,0,58,0.2873,1,1.3926696527638862,0.88890896698808
quintic_skeleton,0,59,0.1924,1,1.1285298048546724,0.5920463459882307
quintic_skeleton,0,60,0.3046,1,1.4526159228668798,0.9114670594513912
quintic_skeleton,0,61,0.3027,1,1.1669356583254955,0.6809921774055557
quintic_skeleton,0,62,0.3005,1,1.3429487177823087,0.7002914656418819
quintic_skeleton,0,63,0.2995,1,1.2495472702990156,0.828456145889253
quintic_skeleton,0,64,0.2984,1,1.3383360132897573,0.7665294324166264
quintic_skeleton,0,65,0.2879,1,1.1583265720075862,0.6814150692130115
quintic_skeleton,0,66,0.287,1,1.6465956237791566,1.2620927517932863
quintic_skeleton,0,67,0.1931,1,1.4383205765432747,0.9954480765559146
quintic_skeleton,0,68,0.1878,1,1.4807455267636318,0.8829361007040003
quintic_skeleton,0,69,0.2225,1,1.2372182594452288,0.7303370296136824
quintic_skeleton,0,70,0.2227,1,1.6938181937214025,1.2333864757319253
quintic_skeleton,0,71,0.3043,1,1.4462086461283252,0.9119610715778786
quintic_skeleton,0,72,0.2243,1,1.4011638083743954,0.8500771741066683
quintic_skeleton,0,73,0.195,1,1.3481346093496922,0.7639474416793679
quintic_skeleton,0,74,0.1893,1,1.246778530155918,0.7046890326231201
quintic_skeleton,0,75,0.2074,1,1.3282048999246394,0.8716277365327237
quintic_skeleton,0,76,0.1949,1,1.5753167835091315,1.1269252555688356
quintic_skeleton,0,77,0.1905,1,1.5328032590088134,1.1291841685070003
quintic_skeleton,0,78,0.1898,1,1.4118777705040717,0.9787561528466584
quintic_skeleton,0,79,0.1917,1,1.4605912149677909,1.0306604348254158
quintic_skeleton,0,80,0.1879,1,1.1862938972293582,0.6132694386333989
quintic_skeleton,0,81,0.1912,1,1.28815457808925,0.8529797119205614
quintic_skeleton,0,82,0.2001,1,1.7407456070619316,1.157058789521327
quintic_skeleton,0,83,0.1948,1,1.3149307335553082,0.8267935303215337
quintic_skeleton,0,84,0.2206,1,1.7139973756593287,1.2839127123457719
quintic_skeleton,0,85,0.1913,1,1.6913964210890737,1.2716945980090695
quintic_skeleton,0,86,0.1869,1,1.6479092367473294,1.2148431585187693
quintic_skeleton,0,87,0.1963,1,1.486348111273342,0.9461163414554764
quintic_skeleton,0,88,0.2023,1,1.7217574364748511,1.2324596063022717
quintic_skeleton,0,89,0.3471,1,1.390972494181501,1.0164860083704237
quintic_skeleton,0,90,0.301,1,1.6476693572223509,1.0783632321481065
quintic_skeleton,0,91,0.3042,1,1.7115751235572403,1.2239952214668195
quintic_skeleton,0,92,0.2832,1,1.195717174588382,0.6469808112789571
quintic_skeleton,0,93,0.3033,1,1.6817630392517697,1.2523307245665265
quintic_skeleton,0,94,0.3095,1,1.6257112603172081,1.053310915388023
quintic_skeleton,0,95,0.3035,1,1.391394763917615,0.9419168930173394
quintic_skeleton,0,96,0.3162,1,1.8446783979388093,1.3668072330968066
quintic_skeleton,0,97,0.3278,1,1.1719503755821876,0.6301491130221075
quintic_skeleton,0,98,0.3258,1,1.6638512658857432,1.135148514723792
quintic_skeleton,0,99,0.3448,1,1.6148536254121733,1.1851850217653825
quintic_skeleton,0,100,0.3772,1,1.077521246901072,0.5685592092331856
quintic_skeleton,0,101,0.2227,1,1.2336604211197844,0.6579414685826841
quintic_skeleton,0,102,0.2374,1,1.4666176812641338,1.0277910993426593
quintic_skeleton,0,103,0.29,1,1.8740275635900985,1.3751067254137903
quintic_skeleton,0,104,0.2874,1,1.0166152976119853,0.5235377850380136
quintic_skeleton,0,105,0.202,1,1.34881461222716,0.9394008566106171
quintic_skeleton,0,106,0.2148,1,1.2561694373963481,0.673160674902125
quintic_skeleton,0,107,0.2119,1,1.2210455315088804,0.6514985986305292
quintic_skeleton,0,108,0.1928,1,1.3448504245230746,0.7727706138806396
quintic_skeleton,0,109,0.2326,1,1.4274937618541022,0.7894966904193967
quintic_skeleton,0,110,0.1916,1,1.7312967031420106,1.2276743676744395
quintic_skeleton,0,111,0.2543,1,1.6701670249800997,1.1793293585620808
quintic_skeleton,0,112,0.1869,1,1.2602852324957663,0.6847352476771961
quintic_skeleton,0,113,0.1968,1,1.431977936951536,0.9837243368987698
quintic_skeleton,0,114,0.1824,1,1.3412758706415402,0.7148593935018619
quintic_skeleton,0,115,0.1835,1,1.3646515564606312,0.7643881800895016
quintic_skeleton,0,116,0.2002,1,1.4407120843747905,0.9034783166471206
quintic_skeleton,0,117,0.1872,1,1.4562360195242372,1.0843659631873879
quintic_skeleton,0,118,0.1979,1,1.3612591567747232,0.7357900910111006
quintic_skeleton,0,119,0.1979,1,1.3456429844852051,0.9164664026682687
quintic_skeleton,0,120,0.2268,1,1.5015900195795564,1.1267091074711746
quintic_skeleton,0,121,0.1937,1,1.4192621139932973,0.964040636239901
quintic_skeleton,0,122,0.1881,1,1.705585294007842,1.2589623973309074
quintic_skeleton,0,123,0.1842,1,1.512590460984909,1.1002448341591378
quintic_skeleton,0,124,0.1885,1,1.1515874800955512,0.5976122785766813
quintic_skeleton,0,125,0.1871,1,1.5270666342670256,1.1230182813907599
quintic_skeleton,0,126,0.1856,1,1.1011919172248572,0.6423646507138614
quintic_skeleton,0,127,0.1981,1,1.2628717977453645,0.7608172022744047
boundary_trajectory,1,0,4.8987,0,28.810250322341684,496.27990423523147
boundary_trajectory,1,1,4.283,0,15.434888375458712,301.0988532942231
boundary_trajectory,1,2,3.3401,0,12.807919832556392,191.74834650973287
boundary_trajectory,1,3,4.1798,0,14.326336467300777,251.39219427344085
boundary_trajectory,1,4,3.6627,0,16.569298085024357,219.50453156348036
boundary_trajectory,1,5,3.5589,0,21.864730158743267,341.7845167555005
boundary_trajectory,1,6,4.462,0,11.16104341389001,177.10757496405222
boundary_trajectory,1,7,5.573,0,18.500349755233916,296.9725205069945
boundary_trajectory,1,8,4.2156,0,13.359879582184812,222.04839494074133
