seed,scenario_index,method,nominal_crossing_0_s,nominal_crossing_1_s,nash_action_0,nash_action_1,nominal_priority_agent,delay_0_s,delay_1_s,both_passed,collision,deadlock,minimum_separation_m,crossing_time_0_s,crossing_time_1_s,crossing_gap_s,completion_time_s,payoff_0,payoff_1,social_payoff,hocbf_intervention_rate,mean_hocbf_correction,maximum_acceleration_mps2
1001,7,nash_game,1.7969978702097003,1.8067355067277941,go,yield,0,0.0,0.4902623634819059,1,0,0,0.304276216991865,1.8044974198273143,2.3095408284926093,0.5050434086652951,2.3095408284926093,9.097751290086343,5.845229585753695,14.942980875840039,0.0,0.0,2.0193224022179543
1001,7,nash_game_hocbf,1.7969978702097003,1.8067355067277941,go,yield,0,0.0,0.4902623634819059,1,0,0,0.42428153816140657,1.7409054616007527,2.3956723726939613,0.6547669110932086,2.3956723726939613,9.129547269199623,5.802163813653019,14.931711082852642,0.11545988258317025,0.7873715214394877,2.0193224022179543
1001,8,independent,2.040779944696724,2.0746317208378304,go,yield,0,0.0,0.0,1,1,0,0.03283424395880588,2.0757015768907117,2.0896827062881216,0.01398112939740992,2.0896827062881216,-20.0,-20.0,-40.0,0.0,0.0,1.6065060101996462
1001,8,fixed_priority,2.040779944696724,2.0746317208378304,go,yield,0,0.0,0.8,1,0,0,0.5369845324545454,2.0757015768907117,2.8895952307720734,0.8138936538813617,2.8895952307720734,8.962149211554644,5.555202384613963,14.517351596168607,0.0,0.0,1.6065060101996462
1001,8,hocbf_only,2.040779944696724,2.0746317208378304,go,yield,0,0.0,0.0,1,0,0,0.3649038884584977,2.0118243541090637,2.153254679700722,0.14143032559165825,2.153254679700722,8.994087822945469,5.923372660149639,14.917460483095107,0.4067796610169492,1.1001117199821586,1.6065060101996462
1001,8,nash_game,2.040779944696724,2.0746317208378304,go,yield,0,0.0,0.46614822385889365,1,0,0,0.2871465216845051,2.0757015768907117,2.555815010069781,0.4801134331790693,2.555815010069781,8.962149211554644,5.72209249496511,14.684241706519753,0.0,0.0,1.6065060101996462
1001,8,nash_game_hocbf,2.040779944696724,2.0746317208378304,go,yield,0,0.0,0.46614822385889365,1,0,0,0.3942745541260353,2.007864215045861,2.6323914847040717,0.6245272696582105,2.6323914847040717,8.99606789247707,5.683804257647964,14.679872150125034,0.12716763005780346,0.6363474145929373,1.6065060101996462
1001,9,independent,1.9981653188158344,2.3161157353600057,go,yield,0,0.0,0.0,1,1,0,0.17461356687448423,1.983164109271966,2.277815408330457,0.29465129905849086,2.277815408330457,-20.0,-20.0,-40.0,0.0,0.0,1.9803121166237638
1001,9,fixed_priority,1.9981653188158344,2.3161157353600057,go,yield,0,0.0,0.8,1,0,0,0.5927225726877513,1.983164109271966,3.078249998608993,1.0950858893370268,3.078249998608993,9.008417945364016,5.460875000695504,14.46929294605952,0.0,0.0,1.9806016112630678
1001,9,hocbf_only,1.9981653188158344,2.3161157353600057,go,yield,0,0.0,0.0,1,0,0,0.36593451071614297,1.8687654098426136,2.408852061912605,0.5400866520699912,2.408852061912605,9.065617295078694,5.795573969043698,14.861191264122391,0.30603448275862066,0.639824548039774,2.0113706561759943
1001,9,nash_game,1.9981653188158344,2.3161157353600057,go,yield,0,0.0,0.18204958345582867,1,0,0,0.288792787334948,1.983164109271966,2.4599158749346546,0.4767517656626885,2.4599158749346546,9.008417945364016,5.7700420625326725,14.778460007896689,0.0,0.0,1.980407825027
1001,9,nash_game_hocbf,1.9981653188158344,2.3161157353600057,go,yield,0,0.0,0.18204958345582867,1,0,0,0.3916318294313281,1.9271446101151053,2.538228377782105,0.6110837676669996,2.538228377782105,9.036427694942446,5.730885811108948,14.767313506051394,0.13070539419087138,0.6360223865321843,1.9991098754041585
1001,10,independent,1.711571914369031,1.9275953441147062,go,yield,0,0.0,0.0,1,1,0,0.11786033328003005,1.7161295314270704,1.9275799814205412,0.21145044999347085,1.9275799814205412,-20.0,-20.0,-40.0,0.0,0.0,2.074125453595641
1001,10,fixed_priority,1.711571914369031,1.9275953441147062,go,yield,0,0.0,0.8,1,0,0,0.46097279230615246,1.7161295314270704,2.727576486827529,1.0114469554004586,2.727576486827529,9.141935234286464,5.636211756586236,14.778146990872699,0.0,0.0,2.074125453595641
1001,10,hocbf_only,1.711571914369031,1.9275953441147062,go,yield,0,0.0,0.0,1,0,0,0.3595552490939273,1.5582135200167375,2.093875806802234,0.5356622867854965,2.093875806802234,9.220893239991632,5.953062096598883,15.173955336590515,0.41019955654101997,0.6627005222178962,2.074125453595641
1001,10,nash_game,1.711571914369031,1.9275953441147062,go,yield,0,0.0,0.28397657025432466,1,0,0,0.2984769464946619,1.7161295314270704,2.211541102425596,0.4954115709985256,2.211541102425596,9.141935234286464,5.894229448787202,15.036164683073666,0.0,0.0,2.074125453595641
1001,10,nash_game_hocbf,1.711571914369031,1.9275953441147062,go,yield,0,0.0,0.28397657025432466,1,0,0,0.4203340308321404,1.6506305510848687,2.3021760466592665,0.6515454955743978,2.3021760466592665,9.174684724457565,5.848911976670367,15.023596701127932,0.12083333333333333,0.8085921617059959,2.074125453595641
1001,11,independent,1.9866670447997343,1.8268128785135265,yield,go,1,0.0,0.0,1,1,0,0.09251559786155099,1.957567863234214,1.7976895603969834,0.1598783028372306,1.957567863234214,-20.0,-20.0,-40.0,0.0,0.0,2.1031118339121506
1001,11,fixed_priority,1.9866670447997343,1.8268128785135265,yield,go,1,0.0,0.8,1,0,0,0.41470083156050375,1.957567863234214,2.5972884144087685,0.6397205511745545,2.5972884144087685,9.021216068382893,5.701355792795615,14.722571861178508,0.0,0.0,2.0970068339140138
1001,11,hocbf_only,1.9866670447997343,1.8268128785135265,yield,go,1,0.0,0.0,1,0,0,0.37037631454449715,2.0693557891308023,1.7048756043040223,0.36448018482678,2.0693557891308023,5.965322105434598,9.14756219784799,15.112884303282588,0.36179775280898874,1.0108472899230392,2.1031118339121506
1001,11,nash_game,1.9866670447997343,1.8268128785135265,yield,go,1,0.3401458337137919,0.0,1,0,0,0.3035432859286327,2.297534264073251,1.7976895603969834,0.49984470367626765,2.297534264073251,5.8512328679633745,9.101155219801509,14.952388087764884,0.0,0.0,2.1031118339121506
