method,runs,both_pass_rate,collision_rate,deadlock_rate,mean_minimum_separation_m,minimum_separation_m,mean_crossing_gap_s,mean_completion_time_s,mean_social_payoff,hocbf_intervention_rate,mean_maximum_acceleration_mps2
independent,384,1.0,0.9088541666666666,0.0,0.11607107355799151,0.008825763763821343,0.1914996979371001,2.098320519854683,-34.98878926073684,0.0,2.0894767438498127
fixed_priority,384,1.0,0.059895833333333336,0.0,0.46353729238745744,0.08316070025365314,0.7978715247216335,2.8014789488291107,11.329635984456097,0.0,2.0915246614228464
hocbf_only,384,1.0,0.0,0.0,0.3666995727757552,0.33979275727516717,0.3967700179518836,2.205325658288198,14.993059350687744,0.3673173395622967,2.0799619212220097
nash_game,384,1.0,0.0078125,0.0,0.3039820718345586,0.2423896238259441,0.5030257339958727,2.4114395480131043,14.412603935870715,0.0,2.091322630504243
nash_game_hocbf,384,1.0,0.0,0.0,0.4095331559285535,0.36366640174078746,0.6410957359890688,2.490300128558403,14.830247739436132,0.13301183414233111,2.085044202788785
