seed,scenario_index,method,nominal_crossing_0_s,nominal_crossing_1_s,nash_action_0,nash_action_1,nominal_priority_agent,delay_0_s,delay_1_s,both_passed,collision,deadlock,minimum_separation_m,crossing_time_0_s,crossing_time_1_s,crossing_gap_s,completion_time_s,payoff_0,payoff_1,social_payoff,hocbf_intervention_rate,mean_hocbf_correction,maximum_acceleration_mps2
1001,0,independent,2.4134609392191226,2.095830637761538,yield,go,1,0.0,0.0,1,1,0,0.13796665142893505,2.3429625416030686,2.108903824532205,0.23405871707086368,2.3429625416030686,-20.0,-20.0,-40.0,0.0,0.0,2.0681461220820347
1001,0,fixed_priority,2.4134609392191226,2.095830637761538,yield,go,1,0.0,0.8,1,0,0,0.3374394385250335,2.3429625416030686,2.90882912226603,0.5658665806629615,2.90882912226603,8.828518729198466,5.5455854388669845,14.37410416806545,0.0,0.0,2.0681269408024177
1001,0,hocbf_only,2.4134609392191226,2.095830637761538,yield,go,1,0.0,0.0,1,0,0,0.3551649510639315,2.477308566717567,1.99173035334793,0.4855782133696369,2.477308566717567,5.761345716641216,9.004134823326035,14.765480539967252,0.39748953974895396,0.716483463616072,1.9977241045930676
1001,0,nash_game,2.4134609392191226,2.095830637761538,yield,go,1,0.18236969854241547,0.0,1,0,0,0.25398007557071073,2.5254728221762988,2.108903824532205,0.41656899764409383,2.5254728221762988,5.73726358891185,8.945548087733897,14.682811676645748,0.0,0.0,2.0681461220820347
1001,0,nash_game_hocbf,2.4134609392191226,2.095830637761538,yield,go,1,0.18236969854241547,0.0,1,0,0,0.36734924631753085,2.6154241299291434,2.040586916468833,0.5748372134603104,2.6154241299291434,5.692287935035428,8.979706541765584,14.67199447680101,0.12903225806451613,0.6966736910018442,2.020954367460381
1001,1,independent,1.8962512023199398,1.824928725078746,yield,go,1,0.0,0.0,1,1,0,0.060692366076023664,1.8540171357006485,1.801155089924237,0.052862045776411515,1.8540171357006485,-20.0,-20.0,-40.0,0.0,0.0,2.4665056142204698
1001,1,fixed_priority,1.8962512023199398,1.824928725078746,yield,go,1,0.0,0.8,1,0,0,0.5180670396854349,1.8540171357006485,2.600826366233281,0.7468092305326326,2.600826366233281,9.072991432149676,5.699586816883359,14.772578249033035,0.0,0.0,2.4665056142204698
1001,1,hocbf_only,1.8962512023199398,1.824928725078746,yield,go,1,0.0,0.0,1,0,0,0.3678947897373282,1.914318761649235,1.7467141497552545,0.16760461189398046,1.914318761649235,6.042840619175383,9.126642925122372,15.169483544297755,0.43601895734597157,1.063167616370551,2.471801167543744
1001,1,nash_game,1.8962512023199398,1.824928725078746,yield,go,1,0.428677522758806,0.0,1,0,0,0.30609997407469763,2.282167012883086,1.801155089924237,0.481011922958849,2.282167012883086,5.858916493558457,9.099422455037882,14.958338948596339,0.0,0.0,2.466554813774485
1001,1,nash_game_hocbf,1.8962512023199398,1.824928725078746,yield,go,1,0.428677522758806,0.0,1,0,0,0.43868095692829945,2.3832552262565763,1.7387812642414235,0.6444739620151527,2.3832552262565763,5.808372386871712,9.130609367879288,14.938981754751,0.11827956989247312,0.9283834435163306,2.497685801897298
1001,2,independent,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.0,1,1,0,0.04206398594254541,1.9807538365205926,2.0426973690571715,0.061943532536578916,2.0426973690571715,-20.0,-20.0,-40.0,0.0,0.0,2.587235643115703
1001,2,fixed_priority,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.8,1,0,0,0.4595495258856483,1.9807538365205926,2.8428130845861928,0.8620592480656002,2.8428130845861928,9.009623081739704,5.578593457706903,14.588216539446607,0.0,0.0,2.587235643115703
1001,2,hocbf_only,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.0,1,0,0,0.3604985429794989,2.12556078011657,1.8857770781309793,0.23978370198559085,2.12556078011657,5.937219609941715,9.057111460934511,14.994331070876225,0.39462809917355374,1.2714876984091192,2.6207282438633177
1001,2,nash_game,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.4134238924303433,1,0,0,0.2892130100753493,1.9807538365205926,2.456082108282729,0.4753282717621363,2.456082108282729,9.009623081739704,5.771958945858636,14.78158202759834,0.0,0.0,2.587235643115703
1001,2,nash_game_hocbf,1.980922201497355,2.0674983090670116,go,yield,0,0.0,0.4134238924303433,1,0,0,0.3801071525756874,1.9321672311892237,2.5321285726874865,0.5999613414982627,2.5321285726874865,9.033916384405389,5.7339357136562565,14.767852098061645,0.22857142857142856,0.5281822606627217,2.5415660112405427
