scenario,method,runs,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,motor_saturation_mean,maximum_tilt_p95_degrees,minimum_barrier
moderate_uncertainty,boundary_cfm_steps8,2,0.0,1.0,0.0,1.9985702304284532,2.9819869426741032,8.053504419882538,nan,0.12317295403009688,133.8624813231095,0.3457043385002248
moderate_uncertainty,projected_velocity_steps8,2,0.0,1.0,0.0,9.022144456821131,9.270503115940237,20.289238663765627,nan,0.4169402185116471,169.57127408362422,1.0305251329672243
moderate_uncertainty,proposed_robust_steps1,2,0.0,1.0,0.0,5.736518008769911,7.181334503392548,18.101973332346695,nan,0.21299618635332923,164.24548727957085,0.09869129478556293
moderate_uncertainty,proposed_robust_steps8,2,0.0,0.5,0.0,4.529972923028583,5.041238647311478,12.78383734175901,nan,0.11743826015254587,155.32070387701717,-0.03179478524202176
moderate_uncertainty,quintic_skeleton,2,0.5,1.0,0.0,4.286226628533939,5.06798451978597,12.78191093583785,0.020979939810090276,0.19195537002679858,137.9215331868186,0.004891859586955032
nominal,boundary_cfm_steps8,2,0.5,0.5,0.0,0.5630096895992465,0.656445551262402,1.2706758998974572,0.26620135583878124,0.01508812615955473,88.11709858980157,-0.02884411954164858
nominal,projected_velocity_steps8,2,0.0,0.0,0.0,0.9971534749552252,1.150467872117622,2.529019699271143,nan,0.0,67.7733038372895,-0.028958961335169134
nominal,proposed_robust_steps1,2,1.0,1.0,0.0,0.23345105160188984,0.2810028046604602,0.9102232306394797,0.04642255370038595,0.0,62.80662488929844,0.20247529108911846
nominal,proposed_robust_steps8,2,1.0,1.0,0.5,0.19819903028292557,0.3260031808612307,0.9378031518710279,0.04891291968979794,0.0,61.580369658169865,0.20924672320238824
nominal,quintic_skeleton,2,1.0,1.0,0.0,0.2721934942026729,0.2974837674431166,0.7872418538239387,0.04645597918330746,0.0,65.67979242314863,0.189929122313614
severe_uncertainty,boundary_cfm_steps8,2,0.0,1.0,0.0,8.216025034176644,9.199179562950194,19.845950120628004,nan,0.39581457431457434,176.0366432636756,0.9784341692473484
severe_uncertainty,projected_velocity_steps8,2,0.0,1.0,0.0,16.627074294856094,17.424685890481136,36.345140222725554,nan,0.4825407132549989,175.36632876008375,1.3562302140849933
severe_uncertainty,proposed_robust_steps1,2,0.0,1.0,0.0,12.620722052917724,14.543557264653938,31.313270307423842,nan,0.42612914862914864,175.46065979715706,1.4723902929316661
severe_uncertainty,proposed_robust_steps8,2,0.0,1.0,0.0,10.388116071734824,10.477823664285598,23.36761070620792,nan,0.4309575345289631,176.41841971900644,1.4979826952876318
severe_uncertainty,quintic_skeleton,2,0.0,1.0,0.0,10.57681446969828,10.88671346239572,25.54163112993524,nan,0.36744846423417854,173.12224204382878,0.9992168731543907
