method,num_trajectories,success_rate,ring_pass_rate,collision_free_rate,dynamic_feasibility_rate,endpoint_feasibility_rate,minimum_barrier,mean_minimum_barrier,mean_crossing_clearance,mean_maximum_speed,maximum_speed,mean_maximum_acceleration,maximum_acceleration,mean_path_length,mean_start_position_error,mean_goal_position_error,trajectory_rmse_to_expert,batch_end_to_end_ms_per_trajectory,cbf_intervention_rate,mean_residual_scale
quintic_skeleton,128,1.0,1.0,1.0,1.0,1.0,0.14250679415013434,0.31372484043829574,0.4032693867945245,1.3968326041178907,1.8740275635900985,0.8995345572435915,1.3751067254137903,3.615213330300668,0.0,3.1006647487684202e-15,0.15816278203459058,0.0,0.0,0.0
projected_velocity_cfm,128,0.65625,1.0,1.0,0.65625,1.0,0.08995824778873218,0.29097067197754534,0.3835082876623215,1.2307967082647895,1.6212290247773986,2.9802438751333877,9.716818108572749,3.630772514153265,0.0,1.02642803234709e-15,0.15672572830560402,3.257646092606592,0.0,1.0
boundary_only,128,0.0,1.0,1.0,0.0,1.0,0.0201010397404362,0.2639263576366392,0.3660191063429389,4.274106114190678,11.291490574580614,33.54397143789161,119.37628532087788,5.145910594716455,0.0,3.1006647487684202e-15,0.2559395594697096,3.090669530138257,0.0,1.0
plus_safe_prior,128,0.0078125,1.0,1.0,0.0078125,1.0,0.027035356945975614,0.26786252483927486,0.3702684314073575,4.144993269414149,11.291490574580614,32.218873740442135,119.37628532087788,5.072254558640521,0.0,3.1006647487684202e-15,0.25556455535194605,4.530317968601594,0.0,1.0
plus_cbf,128,0.0078125,0.9921875,0.9921875,0.0078125,1.0,-0.020153353229693534,0.26750653011705766,0.3721512060166014,4.208183355396256,11.58696619789239,33.5914982545347,177.10285429084078,5.101956954980604,0.0,3.1006647487684202e-15,0.2551004266775687,5.801034374599112,0.0004661981783919598,1.0
plus_kinodynamic,128,1.0,1.0,1.0,1.0,1.0,0.15815597748128085,0.3221639452951909,0.4109074958228064,1.5771126008207235,1.999999870852142,2.979958775039118,2.999998231559694,3.6193117779492194,0.0,3.1006647487684202e-15,0.15858492070646615,8.165031249518506,0.0004661981783919598,0.10744767537961764
plus_execution_margin,128,1.0,1.0,1.0,1.0,1.0,0.15165669928465586,0.3192934638154127,0.408276139378567,1.4943102003010043,1.931301257201663,1.9925399427663177,1.999999277567546,3.6169237308227586,0.0,3.1006647487684202e-15,0.15801332910362853,7.856290625568363,0.0004661981783919598,0.06877065048127462
