index,successful,passed_ring,collision_free,dynamically_feasible,endpoint_feasible,minimum_barrier,crossing_clearance,maximum_speed,maximum_acceleration,path_length,start_position_error,goal_position_error,start_velocity_error,goal_velocity_error
0,False,True,True,False,True,0.3374958203160024,0.42811371497017314,3.3704681621300288,22.415761096905836,4.439620327722302,0.0,2.6668472207145996e-15,0.004777326307896289,0.001758214178531552
1,False,True,True,False,True,0.4754569224794897,0.5364718913264397,4.535955478338668,25.761118476191783,5.640142173153442,0.0,9.326534230477077e-15,0.004907706681624848,0.004275007516201601
2,False,True,True,False,True,0.28737002097302167,0.40211626755338525,1.7970140042567255,11.939976853808352,3.981739675030061,0.0,9.930136612989092e-16,0.002237535589875421,0.002623988769408934
3,False,True,True,False,True,0.034680200567858116,0.08162469351310175,3.1721529476058796,29.252494139367595,4.290150316111456,0.0,3.6771686055379495e-15,0.002367612565678738,0.002776298554090103
4,False,True,True,False,True,0.17935448785181868,0.28466966602777277,2.943831538446451,26.002177647620826,4.782421637927452,0.0,8.473409486550036e-16,0.0028617402970921167,0.0024931110642031082
5,False,True,True,False,True,0.16748657894246893,0.268443848644166,4.032545989091291,15.4638974085208,4.193511479722487,0.0,6.237042840057389e-15,0.002453092805356358,0.000569943446988438
6,False,True,True,False,True,0.2496239918463775,0.35217364843856935,3.0669034639319017,17.99239247072938,5.079003058291993,0.0,6.243524040666089e-15,0.002996470924751064,0.001539663235853233
7,False,True,True,False,True,0.2527975323410314,0.36304058088766844,3.7380185527484984,32.99535701336745,4.839131350975704,0.0,1.851943855780944e-15,0.0020110490139854434,0.0027880383545242924
8,False,True,True,False,True,0.3608363206743935,0.4572750957896964,4.044075732873238,34.198003367537154,4.620268289671624,0.0,1.4093301783636638e-15,0.0031641761999300854,0.0015115437089286926
9,False,True,True,False,True,0.24041738524616396,0.35896816877068577,7.546355074277339,56.11589023670642,5.835768554245889,0.0,8.08254562088053e-16,0.0038817997441589268,0.00017584562770076525
10,False,True,True,False,True,0.31812719165675724,0.427627815414379,3.07492950143895,24.612600625503593,3.7407040846510715,0.0,4.684364995852737e-15,0.0008365195464713012,0.0009396935594024682
11,False,True,True,False,True,0.1471179537123871,0.2487147472961867,2.329694031876756,11.226499920121773,3.7899154525172203,0.0,8.21733804794302e-15,0.001764291891980395,0.0025118307394323427
12,False,True,True,False,True,0.13637255466848197,0.23833399647217018,2.8604756136610274,10.812250395405442,4.570805150600859,0.0,2.638970003411226e-15,0.0020867078867549725,0.004065573115864362
13,False,True,True,False,True,0.1703333167843381,0.27876949920884375,4.510519288432638,24.44803407598607,4.758686511479613,0.0,5.23691153334427e-16,0.0018798883037693375,0.0016183087256629554
14,False,True,True,False,True,0.3112902810406821,0.42077775688021635,6.958010691778896,51.67820049348202,4.461240692097038,0.0,4.521007555157684e-15,0.004783851895954632,0.003931417411776028
15,False,True,True,False,True,0.3750333725502173,0.4684515696247476,2.442791694861225,17.758896667193298,4.286438105655737,0.0,4.491946442396235e-15,0.0026192302665041622,0.002825845638483396
16,False,True,True,False,True,0.19256673127115487,0.2948181658690128,8.586017470223277,59.0975454446523,5.41986442749119,0.0,5.80217678357777e-15,0.005899892015284687,0.0026315533565164726
17,False,True,True,False,True,0.3269355230004488,0.4216164484781649,3.8147287221579367,32.28205748154843,4.748649494610371,0.0,1.79383492860469e-15,0.0032520408562844356,0.0030050944191656686
18,False,True,True,False,True,0.486732481277872,0.5329481264890074,4.775139829075907,24.669197940680693,5.66327832256931,0.0,3.636721891222372e-15,0.0022475347776856145,0.0023661710110849023
19,False,True,True,False,True,0.11832152097384742,0.21206041173718962,3.181911142048636,27.186085014015895,3.988067293469852,0.0,1.3517848686956847e-15,0.001969143118503409,0.003216055120498473
20,False,True,True,False,True,0.22389274924287011,0.35276241551426923,3.7612608416545497,26.3501870517738,4.396552431375595,0.0,3.783829172488461e-15,0.0032121298451962587,0.0031534966292419003
21,False,True,True,False,True,0.29874656574241965,0.4030140406354843,1.9673003447875528,14.697310641640723,3.55804543131822,0.0,4.083472738583337e-15,0.004426962777419578,0.00021853695169606383
22,False,True,True,False,True,0.21256406113850684,0.3431209481789318,3.697639968927975,22.645136637560036,4.619396151499814,0.0,6.661338147750939e-16,0.002629460871382255,0.0009299660703886644
23,False,True,True,False,True,0.24186503885520333,0.3405871568700446,2.104887740118965,10.361376522300874,3.7200933512001173,0.0,1.631687946612622e-15,0.002450083600369519,0.0036231688126347967
24,False,True,True,False,True,0.18278305721408486,0.2810151640275935,3.64586642961197,14.184319008016823,3.827139723010822,0.0,2.524537060921515e-15,0.0018971455012639052,0.0019165284445082943
25,False,True,True,False,True,0.36608623750248453,0.46099452445210143,3.8282146091094735,29.099803021762682,3.751282817939202,0.0,1.1322097734007351e-15,0.003277999195806407,0.002627221727030763
26,False,True,True,False,True,0.4294984499639831,0.5095134356879567,3.7283479759072673,24.311398202807048,4.033798485904326,0.0,4.4519804855454974e-15,0.004659030740963756,0.0029234577724254886
27,False,True,True,False,True,0.1511104850125043,0.2524154230150233,2.027909220004196,8.792052426640971,3.446152767515232,0.0,5.080578321377393e-15,0.0022518073463362975,0.004117867746729696
28,False,True,True,False,True,0.14599344447756896,0.23991417667543885,3.107544538641347,19.119791087711153,4.697624159759414,0.0,5.790480978278404e-15,0.0036371900319386876,0.0019821193588168127
29,False,True,True,False,True,0.34107685940771654,0.4270179773238957,4.875622579515736,41.05226130215001,6.117297483713206,0.0,8.95090418262362e-16,0.003112258352494566,0.006486240516799674
30,False,True,True,False,True,0.542027498454467,0.5976739639120614,6.4338920907750525,78.63774305775432,6.238484081020619,0.0,4.2719248332614296e-15,0.0019827671449921228,0.006559414849034217
31,False,True,True,False,True,0.37480056361874114,0.4629530528888209,3.7593339447792258,27.54680773194332,5.066309183249663,0.0,4.238000104102411e-15,0.0022324048067922705,0.002152842525752543
