baseline,metric,paired_runs,baseline_minus_full_mean,ci95_lower,ci95_upper,conclusion
quintic_skeleton,tracking_rmse_m,72,-0.0016354973858202012,-0.003392553989211327,-0.0005176699457140368,full_worse
quintic_skeleton,maximum_tracking_error_m,72,-0.006356300364971481,-0.01032004685941391,-0.0037226458136554903,full_worse
quintic_skeleton,crossing_time_error_s,72,-0.0007384148132839052,-0.003969294877840137,0.0020094554022054025,inconclusive
quintic_skeleton,maximum_tilt_degrees,72,-4.908808518272364,-6.26151075917184,-3.621105042414565,full_worse
projected_velocity_cfm,tracking_rmse_m,72,-7.565858087488778e-05,-0.0013586311711867348,0.0012725689573903885,inconclusive
projected_velocity_cfm,maximum_tracking_error_m,72,-0.005080636628118926,-0.0085948749139001,-0.0013510526987001294,full_worse
projected_velocity_cfm,crossing_time_error_s,72,0.045360396934846725,0.024975584590907762,0.06884314208597916,full_better
projected_velocity_cfm,maximum_tilt_degrees,72,4.608334769061296,1.5761383635660378,7.985779013521771,full_better
boundary_only,tracking_rmse_m,72,0.19480032219632787,0.1552449002917899,0.24151045385315728,full_better
boundary_only,maximum_tracking_error_m,72,0.5039328758286582,0.4016867925417161,0.6242851937993438,full_better
boundary_only,crossing_time_error_s,64,0.14152211049698943,0.0813877122611205,0.2146446083770383,full_better
boundary_only,maximum_tilt_degrees,72,39.6421291203932,36.52816865190637,42.62774609114331,full_better
plus_safe_prior,tracking_rmse_m,72,0.1956933430134538,0.15502511122435295,0.2433094514207953,full_better
plus_safe_prior,maximum_tracking_error_m,72,0.48294546162246477,0.38360214348553934,0.596419665394506,full_better
plus_safe_prior,crossing_time_error_s,58,0.16624511692515004,0.0802713865250409,0.27671084570566185,full_better
plus_safe_prior,maximum_tilt_degrees,72,38.17075661188092,35.735278858301534,40.88385969924165,full_better
plus_cbf,tracking_rmse_m,72,0.1957759980756738,0.1542556507082595,0.24391457755796728,full_better
plus_cbf,maximum_tracking_error_m,72,0.4829271006798897,0.3875271993312968,0.5990168451248642,full_better
plus_cbf,crossing_time_error_s,58,0.16662707753249614,0.08221216533159258,0.28213721032593897,full_better
plus_cbf,maximum_tilt_degrees,72,38.15784762261811,35.692745963857796,40.84216912340173,full_better
plus_kinodynamic,tracking_rmse_m,72,0.003264901082712056,0.0018463431703317256,0.005455147410277563,full_better
plus_kinodynamic,maximum_tracking_error_m,72,0.009993244837786956,0.006551421884091437,0.015117226983916017,full_better
plus_kinodynamic,crossing_time_error_s,72,0.0015140999864487964,-0.0008703535568368793,0.004311242230324206,inconclusive
plus_kinodynamic,maximum_tilt_degrees,72,4.934286915531946,4.101113109162632,5.796075771613985,full_better
