method,ode_steps,query_index,latency_ms,success,maximum_speed,maximum_acceleration
quintic_skeleton,0,0,0.2459,1,1.5356695018452138,1.097588819982048
quintic_skeleton,0,1,0.2118,1,1.795929688900892,1.2296747327816235
boundary_trajectory,1,0,4.4334,0,28.810250322341684,496.27990423523147
boundary_trajectory,1,1,4.029,0,15.434888375458712,301.0988532942231
projected_velocity,1,0,3.8643,0,1.3714556240697562,8.136415826198904
projected_velocity,1,1,3.4458,0,1.6229719447793367,11.02649205623951
proposed_safe,1,0,218.0857,1,1.588425322652996,1.9942112062026534
proposed_safe,1,1,216.3323,1,1.8598168460102367,1.9974450656174068
