index,successful,passed_ring,collision_free,dynamically_feasible,endpoint_feasible,minimum_barrier,crossing_clearance,maximum_speed,maximum_acceleration,path_length,start_position_error,goal_position_error,start_velocity_error,goal_velocity_error
0,False,True,True,False,True,0.12820612185214542,0.21975895978266796,1.3177609447537377,4.753858205015572,3.551605563380451,0.0,9.945640348601413e-16,0.08157077123634385,0.08540380089927467
1,False,True,True,False,True,0.4421421802952681,0.5102684366505614,1.577708006048556,4.90341198929409,4.328775160704468,0.0,1.1102230246251565e-16,0.0365049654506131,0.0439343621648292
2,True,True,True,True,True,0.37795866245540355,0.47193782266851475,1.1269363628410523,2.7175358390876045,3.7665425479640673,0.0,4.965068306494546e-16,0.1918140345780153,0.032759858647709104
3,False,True,True,False,True,0.24459633155794125,0.35131217827939454,1.0466456060889604,3.5988238388341,3.2765254194159503,0.0,9.992007221626409e-16,0.06047861469306988,0.15125264912649938
4,True,True,True,True,True,0.18959831315273123,0.2877103101439831,1.1988721793694264,2.9816478412679293,3.7668171933108394,0.0,9.192921513844874e-16,0.019620089601664635,0.08099543805524445
5,False,True,True,False,True,0.23777297064084413,0.3406236879983001,1.147554722387519,3.708324713888147,3.575449864240442,0.0,4.577566798522237e-16,0.04962476666192763,0.036452787160624556
6,True,True,True,True,True,0.234210760225594,0.32968145118195635,1.116214471283483,2.6465527799270157,4.181860805081117,0.0,8.899114524108741e-16,0.05675581708530612,0.15933495537725767
7,False,True,True,False,True,0.2794900499710286,0.38636607899061437,1.2113761168143322,3.5346628089648573,3.37535423286652,0.0,1.831026719408895e-15,0.13062303722658142,0.06387314159316246
8,False,True,True,False,True,0.3273032480381581,0.4291264275785114,1.022238606757178,3.49430162592092,3.387925176384998,0.0,2.2671395712616936e-15,0.05772202004080237,0.05972669771695267
9,False,True,True,False,True,0.13266798912510294,0.22598408411000515,1.2850111446944699,4.855018913024734,4.1669969991567655,0.0,7.691850745534255e-16,0.07236049754828601,0.08710949248099875
10,False,True,True,False,True,0.23334484299993957,0.3343126775185289,0.9697583239870958,3.1009818518876324,3.052112350913934,0.0,4.47545209131181e-16,0.04726872333791716,0.04940050125374814
11,False,True,True,False,True,0.13763059329785607,0.23605767811622655,0.9150228373263877,3.3906776868797412,3.467217215895431,0.0,1.336885555457667e-15,0.042467700848295015,0.1210473797986
12,False,True,True,False,True,0.14254422616177478,0.23111990236447844,1.2550854012992965,3.4503247349389228,3.922692934184066,0.0,5.438959822042073e-16,0.11274467822018269,0.08380732133454565
13,False,True,True,False,True,0.23921458321280153,0.34009847167352475,0.9995607219527302,4.951833611037668,3.3800010417082778,0.0,1.336885555457667e-15,0.13200864448684813,0.19782979463944592
14,False,True,True,False,True,0.48747922164710855,0.532402527744666,1.3475666068796661,4.250801187802933,3.8101149168984936,0.0,3.210061615366513e-15,0.12592237486032049,0.11354755013795233
15,True,True,True,True,True,0.3109817121833003,0.4097929842865842,1.1759534672623688,2.9026445572374366,3.716560462039508,0.0,1.1322097734007351e-15,0.04298373981404651,0.08871703637239953
16,False,True,True,False,True,0.3772824142717475,0.45426583066856135,1.413652529204576,4.574258569766484,3.9195190564286393,0.0,4.002966042486721e-15,0.07416802900811921,0.0757668557774981
17,False,True,True,False,True,0.3010615905854699,0.4001135910722856,1.429959279445086,3.627187369482778,3.717053235169003,0.0,5.095246377785861e-16,0.059141315067485635,0.05648734908050564
18,False,True,True,False,True,0.25519134432814916,0.3472335612011617,1.040889893714839,3.5731116875005364,4.027771434731021,0.0,1.4217791915866692e-15,0.0646982669090135,0.05450675513928518
19,False,True,True,False,True,0.15355559391222517,0.2524855501094826,1.1670980100175679,6.350589299283981,3.315563258443848,0.0,0.0,0.05430920507901514,0.12122394923368743
20,False,True,True,False,True,0.19022557613254482,0.30605770299753976,0.918063923807598,3.6616473043224778,3.60638859193625,0.0,9.42055475210265e-16,0.13058005929901909,0.04502898764115154
21,False,True,True,False,True,0.24938325023548302,0.35196836243730506,1.215209642166806,4.04327530492244,3.371844452316224,0.0,1.7979101253009106e-15,0.03625612967662416,0.12719986985939052
22,False,True,True,False,True,0.30814023150228387,0.3977059334558736,1.045430110002041,3.2081554727742394,3.1766002784145786,0.0,1.7979101253009106e-15,0.08051118146408388,0.043569566951940815
23,False,True,True,False,True,0.236840098944593,0.3357771313915272,1.1068983052127566,3.696444605685869,3.39561909304869,0.0,6.280369834735101e-16,0.030660347763033596,0.05436120404618554
24,False,True,True,False,True,0.20013574111327537,0.2998833627217339,1.009347553630627,3.2250074006626277,3.38869587311127,0.0,5.551115123125783e-16,0.06417898755576357,0.0249812272022842
25,False,True,True,False,True,0.358473716511385,0.45780499483498127,1.1506034890380619,3.2588502575553044,2.9824422461379396,0.0,3.1165445441279525e-15,0.07295014452572772,0.10192728556920576
26,False,True,True,False,True,0.34204662411888204,0.43993998431253517,1.3094045108752752,5.172204279915699,3.284485449728228,0.0,6.280369834735101e-16,0.061137842810237014,0.08365336548691278
27,True,True,True,True,True,0.21097881464795887,0.317025743209135,0.9967607068306847,2.7896541817529443,3.341230414672393,0.0,8.881784197001252e-16,0.09562931157659657,0.0504194383545912
28,False,True,True,False,True,0.20315105723116414,0.3002238064252437,1.2285430479402488,3.638349518837475,4.013948058962124,0.0,4.996003610813204e-16,0.018199416969447404,0.06666414010671005
29,False,True,True,False,True,0.48549328872583214,0.535296172928555,1.442659196035504,4.509208872405666,3.9381282256003938,0.0,9.155133597044475e-16,0.09727708804803602,0.08128775476780682
30,False,True,True,False,True,0.41941508454132276,0.5032547146327051,1.331882203964935,7.444912488425003,3.6992255938290137,0.0,1.1157603309187458e-15,0.04154487924505252,0.1194641415213945
31,True,True,True,True,True,0.5064414335922404,0.5529340722669599,1.0523669863476137,2.9575214956039164,3.420563616862515,0.0,0.0,0.07936032393511043,0.07857684932428229
