candidates,ode_steps,query,latency_ms
1,16,0,70.82869997248054
1,16,1,69.01400000788271
1,16,2,75.55419998243451
1,16,3,59.26889996044338
1,16,4,60.84069982171059
1,16,5,64.95549995452166
1,16,6,61.382099986076355
1,16,7,65.7381999772042
1,16,8,69.40279994159937
1,16,9,66.90039997920394
1,16,10,59.106600005179644
1,16,11,67.91419978253543
1,16,12,62.6437000464648
1,16,13,67.0511000789702
1,16,14,61.200000112876296
1,16,15,66.1551000084728
1,16,16,78.36149982176721
1,16,17,83.22599995881319
1,16,18,63.77710006199777
1,16,19,60.652899788692594
1,16,20,59.76850003935397
1,16,21,66.24020007438958
1,16,22,65.22520002909005
1,16,23,62.36870004795492
1,16,24,62.34170007519424
1,16,25,65.78569998964667
1,16,26,61.8576998822391
1,16,27,63.17280000075698
1,16,28,64.6189998369664
1,16,29,63.68290004320443
1,16,30,58.533500181511045
1,16,31,60.35230006091297
1,16,32,66.06839993037283
1,16,33,66.05330016463995
1,16,34,59.853200102224946
1,16,35,61.057900078594685
1,16,36,63.15240007825196
1,16,37,73.75010009855032
1,16,38,68.12830013222992
1,16,39,63.19659994915128
1,16,40,71.28600007854402
1,16,41,66.09099986962974
1,16,42,61.60699995234609
1,16,43,62.4611999373883
1,16,44,62.725100200623274
1,16,45,68.54410003870726
1,16,46,65.80739980563521
1,16,47,57.67269991338253
1,16,48,58.11520013958216
1,16,49,63.372200122103095
1,16,50,58.456100057810545
1,16,51,58.533200062811375
1,16,52,59.71800000406802
1,16,53,59.54689998179674
1,16,54,64.1689000185579
1,16,55,69.48850001208484
1,16,56,74.82900004833937
1,16,57,69.79890004731715
1,16,58,62.24459991790354
1,16,59,67.77550000697374
1,16,60,65.84740011021495
1,16,61,71.21680001728237
1,16,62,76.46379992365837
1,16,63,67.27749994024634
4,8,0,93.6010000295937
4,8,1,90.377600165084
4,8,2,96.51870001107454
4,8,3,87.25460013374686
4,8,4,86.66789997369051
4,8,5,89.47960007935762
4,8,6,83.43549980781972
4,8,7,87.58719987235963
4,8,8,83.54349993169308
4,8,9,84.34689999558032
4,8,10,84.1734001878649
4,8,11,87.42400002665818
4,8,12,82.73699996061623
4,8,13,83.16499995999038
4,8,14,81.04299986734986
4,8,15,83.99119996465743
4,8,16,88.82410009391606
4,8,17,86.15819993428886
4,8,18,85.5927998200059
4,8,19,85.26060008443892
4,8,20,84.75289982743561
4,8,21,84.1387000400573
4,8,22,90.82360006868839
4,8,23,85.63919994048774
4,8,24,82.43559999391437
4,8,25,79.57080006599426
4,8,26,78.92400003038347
4,8,27,83.67429999634624
4,8,28,80.19859995692968
4,8,29,78.49190011620522
4,8,30,80.0667000003159
4,8,31,81.34769997559488
4,8,32,84.8593998234719
4,8,33,86.68199996463954
4,8,34,92.88719994947314
4,8,35,91.596300015226
4,8,36,86.70690003782511
4,8,37,85.38569998927414
4,8,38,83.23739981278777
4,8,39,91.22770000249147
4,8,40,95.64190008677542
4,8,41,83.63649994134903
4,8,42,87.53310004249215
4,8,43,87.09320006892085
4,8,44,88.6790999211371
4,8,45,90.51050012931228
4,8,46,96.10600001178682
4,8,47,96.20750020258129
4,8,48,97.90130006149411
4,8,49,84.64360004290938
4,8,50,83.6402999702841
4,8,51,83.12599989585578
4,8,52,108.54509985074401
4,8,53,83.76429998315871
4,8,54,80.58349997736514
4,8,55,87.9537002183497
4,8,56,86.07359998859465
4,8,57,88.35350000299513
4,8,58,84.65569978579879
4,8,59,85.78839991241693
4,8,60,84.56730004400015
4,8,61,81.83680009096861
4,8,62,81.97820000350475
4,8,63,83.60550017096102
8,16,0,263.3070999290794
8,16,1,264.1008000355214
8,16,2,271.03369985707104
8,16,3,264.87930002622306
8,16,4,263.9099999796599
8,16,5,264.00709990411997
8,16,6,247.98669992014766
8,16,7,248.5341001302004
8,16,8,249.55599987879395
8,16,9,255.2233999595046
8,16,10,246.66410009376705
8,16,11,248.38160001672804
8,16,12,255.43610006570816
8,16,13,252.74370005354285
8,16,14,247.3261000122875
8,16,15,248.96180001087487
8,16,16,247.27339996024966
8,16,17,250.94559998251498
8,16,18,250.03959983587265
8,16,19,250.40240003727376
8,16,20,248.21899994276464
8,16,21,253.40289995074272
8,16,22,248.4367999713868
8,16,23,248.62390011548996
8,16,24,248.95710009150207
8,16,25,259.45569993928075
8,16,26,250.03709993325174
8,16,27,248.7673000432551
8,16,28,246.7443998903036
8,16,29,250.40909997187555
8,16,30,254.51670004986227
8,16,31,251.8963001202792
8,16,32,253.08459997177124
8,16,33,247.75240011513233
8,16,34,254.49109985493124
8,16,35,249.63540001772344
8,16,36,251.64569984190166
8,16,37,252.6053001638502
8,16,38,248.2272998895496
8,16,39,256.2702000141144
8,16,40,278.02550001069903
8,16,41,248.7374001648277
8,16,42,258.84580006822944
8,16,43,249.71910007297993
8,16,44,248.52970009669662
8,16,45,250.13609998859465
8,16,46,252.68670008517802
8,16,47,248.38100001215935
8,16,48,247.11739993654191
8,16,49,252.30569997802377
8,16,50,246.60179996863008
8,16,51,247.8283999953419
8,16,52,247.3838001023978
8,16,53,247.75420012883842
8,16,54,249.15529997088015
8,16,55,250.21530012600124
8,16,56,249.13490004837513
8,16,57,249.95409999974072
8,16,58,253.3205000218004
8,16,59,250.52169989794493
8,16,60,247.51670006662607
8,16,61,251.59260001964867
8,16,62,256.3449000008404
8,16,63,249.08380000852048
