index,successful,passed_ring,collision_free,dynamically_feasible,endpoint_feasible,minimum_barrier,crossing_clearance,maximum_speed,maximum_acceleration,path_length,start_position_error,goal_position_error,start_velocity_error,goal_velocity_error
0,False,True,True,False,False,0.12309694515226703,0.21385147742461358,1.2767940947229293,4.753858205015601,3.376192436621653,0.0,0.18424244113455487,0.04183260854254988,0.0812505678448042
1,False,True,True,False,True,0.48836198200230907,0.543444074554227,1.575654419734316,4.9034119892940895,4.318591101229359,0.0,0.09781191971877877,0.07918371932880267,0.11962568420689301
2,True,True,True,True,True,0.38948753026930194,0.47989205659712547,1.1039856420404786,2.7175358390876,3.638604403345774,0.0,0.12962842580396722,0.18509667546587727,0.05854623124175844
3,False,True,True,False,True,0.24031638255489318,0.3471556550919502,1.050353991321104,3.5988238388341056,3.2885050813097174,0.0,0.09846348520837535,0.05907062261769409,0.06006739139690266
4,True,True,True,True,True,0.18191488882887313,0.2795242485183308,1.1740311174399782,2.9816478412679985,3.637044169771125,0.0,0.13687865347660416,0.10265624659449792,0.11112213809667955
5,False,True,True,False,True,0.2226688718020468,0.32525746217526946,1.1256335633643626,3.708324713888152,3.4749157960953783,0.0,0.11056984544026471,0.21983704154843656,0.031354092243855755
6,False,True,True,True,False,0.30016685250310254,0.3918971875954178,1.0949098979641438,2.3538617837183753,4.07096865807948,0.0,0.16958001196995826,0.29534488223730115,0.11111591750739584
7,False,True,True,False,False,0.2581749295966322,0.3677576037952971,1.220091876608334,3.5346628089648577,3.422043298745834,0.0,0.07798313038849979,0.2739735187160111,0.09969609810240693
8,False,True,True,False,True,0.3771207892907369,0.47063562311211327,1.0139179895418442,3.4943016259208814,3.3543946548827788,0.0,0.09383357652009461,0.09730758998519666,0.07481557999806372
9,False,True,True,False,False,0.13411482826835852,0.2280074998264173,1.2535605925127757,4.139777194030781,4.045397727631114,0.0,0.1563392482220553,0.18709277018143733,0.2836561913831181
10,True,True,True,True,True,0.20781444167301033,0.3090492410634287,0.9820662000461979,2.310678126107901,3.1178367871924517,0.0,0.09778770929302451,0.10723894728592685,0.09279430404926473
11,False,True,True,False,True,0.13564909689651616,0.2335117452351658,0.9203289842318064,3.3906776868797723,3.5002684763229084,0.0,0.032587984622494945,0.0695747112020416,0.21798888899854604
12,False,True,True,False,True,0.15459965046146446,0.24494134476011953,1.2575839959943946,3.4503247349389214,3.9380739214387734,0.0,0.06830104790231038,0.1054738085236664,0.17771732598303577
13,False,True,True,False,False,0.19071158957781575,0.2907925346248551,0.9855106336692406,4.951833611037712,3.300278800239352,0.0,0.1414707943041273,0.18222184770776073,0.26261996833653223
14,False,True,True,False,False,0.5119178694159348,0.5491699964952268,1.3193448210010887,4.250801187802919,3.696746256655072,0.0,0.12683384655975422,0.11771183632522271,0.27027781543345797
15,False,True,True,False,False,0.31212612337957585,0.40922194953788793,1.1649775502373598,3.521907820019792,3.6683859393878895,0.0,0.11290467033974975,0.08499568551668332,0.27808590303386055
16,False,True,True,False,True,0.41518219031465603,0.4829514610916824,1.392518113071004,4.574258569766484,3.8334097019173208,0.0,0.11077044708297543,0.17827758996775933,0.17057008741544405
17,False,True,True,False,False,0.27907403001728176,0.3801577927005867,1.3949069728401942,3.43951816044401,3.574939240582665,0.0,0.15823349259694527,0.135908543932799,0.15821623676018937
18,False,True,True,False,True,0.21307367400324412,0.306835725240722,1.0300131890534783,3.5731116875005062,3.971601288774556,0.0,0.10079460563585498,0.1022175168617718,0.046318526393835026
19,False,True,True,False,False,0.169589021914123,0.2714825453927822,1.1540416078352724,3.4955302908465917,3.2564684643868556,0.0,0.07535971213367923,0.070431930138022,0.2842145915701022
20,False,True,True,False,True,0.20242804177775067,0.31178767636526894,0.8971706533788729,3.132692080688304,3.4835156284977744,0.0,0.12861052775131618,0.1979134425236073,0.055843210203353824
21,False,True,True,False,True,0.2545272392098493,0.3567552069073167,1.2011140766242572,4.043083257842067,3.3088574350223525,0.0,0.07153783362063314,0.05705234685117963,0.14722283331345773
22,False,True,True,False,True,0.295915194047915,0.38553194365108756,1.0248525823764376,3.208155472774241,3.081898910438253,0.0,0.12298615871357901,0.07057032062810671,0.018186116072293652
23,False,True,True,False,True,0.23275265146378032,0.33216780118808714,1.0773408833245486,3.696444605685824,3.2642531669891017,0.0,0.13758477997558152,0.06968296334413099,0.13923710155592187
24,False,True,True,False,True,0.2111752509135447,0.3086222865881508,1.0275096117917761,3.2250074006626424,3.5000132683054423,0.0,0.13984054560250528,0.08703585181951688,0.050575623580780715
25,False,True,True,False,False,0.315388168295811,0.4236857716978836,1.140484154785743,3.258850257555304,2.9492774397094172,0.0,0.0739733185847966,0.30335879613176386,0.0935112468379887
26,False,True,True,False,False,0.31640780414402375,0.41860748211413246,1.3164160974495056,5.172204279915699,3.3164707740667128,0.0,0.1796702615377298,0.15152816734506008,0.28352966864613943
27,False,True,True,True,False,0.1845142658697994,0.28944769801807363,0.9663670653983606,2.7896541817529275,3.178457360627295,0.0,0.17122372349793138,0.07520070755557587,0.10652941116638416
28,False,True,True,False,True,0.20609762645045304,0.30313825944563544,1.2302916200344594,3.638349518837475,4.027135347147759,0.0,0.054802153624889216,0.07291336666571163,0.14719915006846956
29,False,True,True,False,False,0.48285907562374303,0.5382796377515957,1.380023660385512,4.509208872405667,3.675162524960266,0.0,0.2674591447993999,0.1315824591380657,0.07270460009074821
30,False,True,True,False,False,0.44541827851694216,0.5136554977567549,1.3152779491273086,4.437382798144187,3.5962909758103185,0.0,0.46900334421637546,0.25959980006343714,0.28431281387661356
31,True,True,True,True,True,0.5335449420113602,0.5702498471383837,1.0242760949192167,2.95395245261971,3.2741935348856104,0.0,0.14871859003729102,0.05692275779092639,0.14469941141146386
32,False,True,True,False,False,0.3403322848306509,0.4303399049757856,1.3783073561776396,4.754379898053621,3.3238010320467013,0.0,0.17601302892354426,0.248308069355469,0.29476145349565885
33,False,True,True,False,False,0.45863696169428936,0.5213911376871592,1.307984813271122,3.773440843667917,3.7773831684346795,0.0,0.12315767143061412,0.32915491640808503,0.07369772150960913
34,False,True,True,False,True,0.2603437441729078,0.366431399266618,1.1951901680676404,4.1714697642419045,3.544057659654674,0.0,0.12712482025099783,0.12990515159343738,0.11262423639013501
35,False,True,True,False,True,0.1500987693226148,0.25448248440362264,1.5780557738732401,4.129145303144215,3.407840879208357,0.0,0.1285418158969384,0.20541677787133128,0.10005111659615441
36,False,True,True,False,False,0.3050452963505625,0.40084002118364626,1.339338798838428,4.981875671531563,3.386000091657505,0.0,0.19074626558968824,0.10596250121411671,0.1495803683417101
37,False,True,True,False,False,0.20708461372424536,0.319029393014985,1.0323456553098072,3.2700891783538473,3.750807942395536,0.0,0.18221692554273505,0.21274086176828524,0.13677187269243088
38,False,True,True,False,False,0.39376256061711157,0.47572175293523045,1.0508282466945411,3.809290781517321,3.254451838416997,0.0,0.21204097494890584,0.14135357075083932,0.1596927432470706
39,False,True,True,False,False,0.2228663917707201,0.3210230248985492,1.441833041644387,5.627551700650849,3.3673852939583955,0.0,0.15159651757453424,0.0556477730168686,0.15092759281317228
40,False,True,True,False,True,0.3094986626499116,0.4146856094035333,1.0427146900691233,3.4317417932452767,3.4749864165757365,0.0,0.07270612656455491,0.24882114093647886,0.23627785973252552
