method,samples,both_pass_rate,collision_rate,margin_violation_rate,mean_minimum_separation_m,worst_minimum_separation_m,mean_start_error_m,mean_goal_error_m,mean_expert_rmse_m,mean_maximum_speed_mps,mean_maximum_acceleration_mps2,mean_hocbf_intervention_rate,mean_hocbf_correction,batch_sampling_ms_per_trajectory
nash_reference,256,1.0,0.0,0.99609375,0.30424261358473453,0.27648442625764486,0.0,0.0,0.01853203585415031,1.332404667045921,2.0030841208063066,0.0,0.0,0.0
teacher_expert,256,1.0,0.0,0.00390625,0.40827052571219913,0.3524720153461135,0.0,0.025668541846243897,0.0,1.3415523832663894,1.9985428424552083,0.0,0.0,0.0
game_cfm_raw,256,1.0,0.0,0.39453125,0.3699831026976127,0.29306651782064275,0.0031113501049730985,0.024661452984219068,0.02203410296351649,1.3579152994789183,2.1290211137384176,0.0,0.0,33.598467187403
game_cfm_anchored,256,1.0,0.0,0.39453125,0.3671834050621377,0.29703279496036955,0.0,0.0,0.018343321650242543,1.357491881600047,2.129021076971371,0.0,0.0,33.598467187403
nash_reference_hocbf,256,1.0,0.0,0.0078125,0.4075279504347585,0.35209011566810183,0.0,0.025666353691246476,0.0015833121073001515,1.329089856771515,1.9387520213849083,0.12042734800362977,0.6370558125946385,0.0
game_cfm_hocbf,256,1.0,0.0,0.0,0.42740137539943823,0.36041638052410363,0.0,0.025790163240654335,0.0108256778716266,1.3435733672725885,1.9755673001149132,0.09314031306715063,0.4677838878044186,33.598467187403
