method,samples,both_pass_rate,collision_rate,margin_violation_rate,mean_minimum_separation_m,worst_minimum_separation_m,mean_start_error_m,mean_goal_error_m,mean_expert_rmse_m,mean_maximum_speed_mps,mean_maximum_acceleration_mps2,mean_hocbf_intervention_rate,mean_hocbf_correction,batch_sampling_ms_per_trajectory
nash_reference,256,1.0,0.0,0.99609375,0.30424261358473453,0.27648442625764486,0.0,0.0,0.01853203585415031,1.332404667045921,2.0030841208063066,0.0,0.0,0.0
teacher_expert,256,1.0,0.0,0.00390625,0.40827052571219913,0.3524720153461135,0.0,0.025668541846243897,0.0,1.3415523832663894,1.9985428424552083,0.0,0.0,0.0
game_cfm_raw,256,1.0,0.0,0.39453125,0.3699831026976127,0.29306651782064275,0.0031113501049730985,0.024661452984219068,0.02203410296351649,1.3579152994789183,2.1290211137384176,0.0,0.0,36.11931484374509
game_cfm_anchored,256,1.0,0.0,0.39453125,0.3671834050621377,0.29703279496036955,0.0,0.0,0.018343321650242543,1.357491881600047,2.129021076971371,0.0,0.0,36.11931484374509
nash_reference_hocbf,256,1.0,0.0,0.0,0.5814035377028444,0.3705999603760437,0.0,0.04766297058155776,0.03915785438315909,1.3445298419937348,1.9278028393832554,0.6622192604355717,0.7949961165313295,0.0
game_cfm_hocbf,256,1.0,0.0,0.0,0.5817663911227523,0.3705999603760437,0.0,0.04788246528725694,0.04061082131466318,1.35259796981568,1.9616316524704878,0.6174710753176043,0.7396947740367548,36.11931484374509
