seed,method,trajectory_index,tracking_rmse_m,maximum_tracking_error_m,crossing_time_error_s,maximum_tilt_degrees,motor_saturation_fraction,ring_passed,collision_free,endpoint_feasible,minimum_barrier,mass_scale,motor_tau_scale,wind_x,wind_y,wind_z
901,quintic_skeleton,0,0.14589343762929366,0.16643074527312612,0.04830473024793225,8.586775101325513,0.0,1,1,0,0.10972498733861442,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,quintic_skeleton,1,0.09478145921030931,0.12378915403702333,0.017079566026078297,11.731197437042164,0.0,1,1,1,0.47998317978786786,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,projected_velocity_cfm,0,0.14762396284091556,0.16990456827564066,0.05195180620452655,26.203655701578707,0.0,1,1,0,0.08829506596838638,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,projected_velocity_cfm,1,0.09952141412979022,0.1252255058448879,0.03911724973037778,30.755528673129408,0.0,1,1,1,0.4282388757788742,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,boundary_only,0,0.5652149362783508,1.255539116574636,0.09810706412290804,49.368675625682904,0.02295918367346939,1,1,0,0.05468948046482561,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,boundary_only,1,0.33958244430763473,0.5939767853679344,0.16211337828808747,46.976715045062605,0.010444444444444444,1,1,0,0.2502466192206197,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,plus_safe_prior,0,0.5553938139906595,1.2235454658116383,0.33486455725396747,49.299718504397156,0.025278293135435993,1,1,0,0.06782446618594022,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,plus_safe_prior,1,0.33958244430763473,0.5939767853679344,0.16211337828808747,46.976715045062605,0.010444444444444444,1,1,0,0.2502466192206197,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,plus_cbf,0,0.5553938139906595,1.2235454658116383,0.33486455725396747,49.299718504397156,0.025278293135435993,1,1,0,0.06782446618594022,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,plus_cbf,1,0.33958244430763473,0.5939767853679344,0.16211337828808747,46.976715045062605,0.010444444444444444,1,1,0,0.2502466192206197,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,plus_kinodynamic,0,0.14914446428762757,0.1748343859974167,0.04641948960981468,14.646572555300137,0.0,1,1,0,0.10831806822564395,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,plus_kinodynamic,1,0.09524457493990994,0.12467136271281301,0.022668961907093887,18.35048140984409,0.0,1,1,1,0.4828118686057483,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
901,plus_execution_margin,0,0.14681664675743786,0.16913087949328062,0.04661364235606147,10.1642318509027,0.0,1,1,0,0.10993884432680102,1.0057863468815393,0.8042978165738838,0.26739870569914914,-0.9704842421013019,-0.6531908358385637
901,plus_execution_margin,1,0.09484286585927583,0.12409337650314807,0.01967920834463799,13.759805485938704,0.0,1,1,1,0.4795927612857106,0.9654488179537104,0.7663190119600178,1.069895943488131,-0.46166984618696233,-0.2866768620404307
