method,runs,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,maximum_tilt_p95_degrees,motor_saturation_mean,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,minimum_barrier
quintic_skeleton,2,0.12033744841980148,0.14333783870834443,0.16429866571132098,0.03269214813700527,11.573976320256332,0.0,1.0,1.0,0.5,0.10972498733861442
projected_velocity_cfm,2,0.12357268848535288,0.1452188354053593,0.167670615154103,0.045534527967452165,30.527935024551873,0.0,1.0,1.0,0.5,0.08829506596838638
boundary_only,2,0.4523986902929928,0.5539333116798151,1.2224610000143008,0.13011022120549776,49.24907759665189,0.016701814058956918,1.0,1.0,0.0,0.05468948046482561
plus_safe_prior,2,0.4474881291491471,0.5446032455065082,1.192067031789453,0.24848896777102747,49.18356833143043,0.01786136878994022,1.0,1.0,0.0,0.06782446618594022
plus_cbf,2,0.4474881291491471,0.5446032455065082,1.192067031789453,0.24848896777102747,49.18356833143043,0.01786136878994022,1.0,1.0,0.0,0.06782446618594022
plus_kinodynamic,2,0.12219451961376876,0.14644946982024168,0.17232623483318651,0.03454422575845428,18.16528596711689,0.0,1.0,1.0,0.5,0.10831806822564395
plus_execution_margin,2,0.12082975630835685,0.14421795771252977,0.166879004343774,0.03314642535034973,13.580026804186904,0.0,1.0,1.0,0.5,0.10993884432680102
