baseline,metric,paired_runs,baseline_minus_full_mean,ci95_lower,ci95_upper,conclusion
quintic_skeleton,tracking_rmse_m,2,-0.0004923078885553586,-0.0009232091281441979,-6.140664896651937e-05,full_worse
quintic_skeleton,maximum_tracking_error_m,2,-0.0015021783431396207,-0.0027001342201544987,-0.0003042224661247428,full_worse
quintic_skeleton,crossing_time_error_s,2,-0.00045427721334445614,-0.0025996423185596917,0.0016910878918707795,inconclusive
quintic_skeleton,maximum_tilt_degrees,2,-1.803032399236864,-2.0286080488965403,-1.5774567495771876,full_worse
projected_velocity_cfm,tracking_rmse_m,2,0.0027429321769960463,0.0008073160834776993,0.004678548270514393,full_better
projected_velocity_cfm,maximum_tracking_error_m,2,0.0009529090620499295,0.0007736887823600325,0.0011321293417398265,full_better
projected_velocity_cfm,crossing_time_error_s,2,0.012388102617102437,0.005338163848465083,0.01943804138573979,full_better
projected_velocity_cfm,maximum_tilt_degrees,2,16.517573518933357,16.03942385067601,16.995723187190706,full_better
boundary_only,tracking_rmse_m,2,0.33156893398463594,0.24473957844835892,0.41839828952091296,full_better
boundary_only,maximum_tracking_error_m,2,0.7781458229730708,0.46988340886478636,1.0864082370813553,full_better
boundary_only,crossing_time_error_s,2,0.09696379585514803,0.05149342176684657,0.14243416994344948,full_better
boundary_only,maximum_tilt_degrees,2,36.210676666952054,33.2169095591239,39.2044437747802,full_better
plus_safe_prior,tracking_rmse_m,2,0.32665837284079025,0.24473957844835892,0.40857716723322157,full_better
plus_safe_prior,maximum_tracking_error_m,2,0.762148997591572,0.46988340886478636,1.0544145863183576,full_better
plus_safe_prior,crossing_time_error_s,2,0.21534254242067774,0.14243416994344948,0.288250914897906,full_better
plus_safe_prior,maximum_tilt_degrees,2,36.17619810630917,33.2169095591239,39.13548665349445,full_better
plus_cbf,tracking_rmse_m,2,0.32665837284079025,0.24473957844835892,0.40857716723322157,full_better
plus_cbf,maximum_tracking_error_m,2,0.762148997591572,0.46988340886478636,1.0544145863183576,full_better
plus_cbf,crossing_time_error_s,2,0.21534254242067774,0.14243416994344948,0.288250914897906,full_better
plus_cbf,maximum_tilt_degrees,2,36.17619810630917,33.2169095591239,39.13548665349445,full_better
plus_kinodynamic,tracking_rmse_m,2,0.001364763305411909,0.0004017090806341106,0.0023278175301897075,full_better
plus_kinodynamic,maximum_tracking_error_m,2,0.003140746356900516,0.0005779862096649407,0.005703506504136091,full_better
plus_kinodynamic,crossing_time_error_s,2,0.0013978004081045547,-0.00019415274624678958,0.002989753562455899,inconclusive
plus_kinodynamic,maximum_tilt_degrees,2,4.536508314151411,4.482340704397437,4.590675923905385,full_better
