index,successful,passed_ring,collision_free,dynamically_feasible,endpoint_feasible,minimum_barrier,crossing_clearance,maximum_speed,maximum_acceleration,path_length,start_position_error,goal_position_error,start_velocity_error,goal_velocity_error
0,True,True,True,True,True,0.20081465849787622,0.30178410751452345,1.654456628370395,2.9985053723454502,3.529815444087863,0.0,2.6668472207145996e-15,0.0015919546224595672,0.0015758632204740486
1,True,True,True,True,True,0.4149944818348636,0.48898143538887223,1.87583356513935,2.990297388124437,4.307675804783591,0.0,9.326534230477077e-15,0.0018394112785067637,0.0018878108390452634
2,True,True,True,True,True,0.3644439544996466,0.46034664983734236,1.366649160575039,2.997901152505286,3.7329987269860596,0.0,9.930136612989092e-16,0.0012287532801697944,0.0012330322893085756
3,True,True,True,True,True,0.27311178604505454,0.3777026926279837,1.358009264190656,2.992788327071015,3.2509404096770846,0.0,3.6771686055379495e-15,0.0012635583304824892,0.0012774314193950255
4,True,True,True,True,True,0.2098331271713088,0.30863079528106524,1.3864089920177372,2.9962680185915658,3.7510646489145976,0.0,8.473409486550036e-16,0.0013142235050595814,0.0013551884617133527
5,True,True,True,True,True,0.2927302090909116,0.39205170862091754,1.4560788652072116,2.9997203702429074,3.5608319877210333,0.0,6.237042840057389e-15,0.001452079592563249,0.001453463408805649
6,True,True,True,True,True,0.2696901941896905,0.3645614144792907,1.4881311438566405,2.9999967446172633,4.170729513166772,0.0,6.243524040666089e-15,0.0013768108435017246,0.001335165284729684
7,True,True,True,True,True,0.31956252842950067,0.4223676424869862,1.414620621723876,2.993931317873488,3.3611586238748634,0.0,1.851943855780944e-15,0.0013151093075369606,0.0013266324451632434
8,True,True,True,True,True,0.2650909264110663,0.3721255357692983,1.3078999259700899,2.9951134490296716,3.3415431462341836,0.0,1.4093301783636638e-15,0.00120041888302121,0.0012274984089140747
9,True,True,True,True,True,0.2126283261610504,0.3144816096139659,1.9141136754232762,2.9961257016213394,4.146955284395583,0.0,8.08254562088053e-16,0.0018855461666635498,0.0018462630522723036
10,True,True,True,True,True,0.2904579845165504,0.3869492088779393,1.1892796540990562,2.9960117920490634,3.028739936255367,0.0,4.684364995852737e-15,0.0010109357760000575,0.0010517598229470302
