scenario,method,runs,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,motor_saturation_mean,maximum_tilt_p95_degrees,minimum_barrier
moderate_uncertainty,boundary_cfm_steps8,5,0.6,0.6,0.0,0.9020456863873452,1.4611898725876649,3.4259654360539393,0.2028769773087332,0.01782825811154229,87.27524457277629,-0.03308033978148815
moderate_uncertainty,projected_velocity_steps8,5,0.4,0.6,0.0,1.228654218096933,1.7269426969484798,3.582245165069503,0.11216056677502917,0.0,75.02124819623621,-0.031967951508958495
moderate_uncertainty,proposed_robust_steps1,5,1.0,1.0,0.0,1.0021700655680348,1.516884137171219,3.883880967743168,0.06509216018150772,0.0,68.43054371600944,0.1554854821965505
moderate_uncertainty,proposed_robust_steps8,5,1.0,1.0,0.0,0.41971441006329213,0.9131234120845573,2.3329736689611127,0.09929946519394743,0.0,66.86796651494845,0.04606300592016649
moderate_uncertainty,quintic_skeleton,5,1.0,1.0,0.0,0.6002343063229045,1.1024431827660899,3.154335849480219,0.02125699707841564,0.0,70.67583554518214,0.11941054227379766
nominal,boundary_cfm_steps8,5,1.0,1.0,1.0,0.25090367254384266,0.362419964938972,0.7918570080616196,0.14836924957486913,0.00868978977340111,64.89560335511206,0.04826875475643638
nominal,projected_velocity_steps8,5,1.0,1.0,1.0,0.047457718394710774,0.05809592193622666,0.07656408291455685,0.058831530675168595,0.0,35.77100693870598,0.16474084588341936
nominal,proposed_robust_steps1,5,1.0,1.0,1.0,0.05533165650970669,0.06492162760536535,0.1073133669559003,0.05157907248886175,0.0,21.91178448896524,0.20424950625147192
nominal,proposed_robust_steps8,5,1.0,1.0,1.0,0.052386475020748516,0.06312163881274209,0.0978005372242689,0.050994957644204586,0.0,16.11149573121364,0.21291461278977683
nominal,quintic_skeleton,5,1.0,1.0,1.0,0.051067411741060054,0.06262592359418526,0.09451661685651228,0.05004360879649816,0.0,9.691191889872005,0.20378149417518782
severe_uncertainty,boundary_cfm_steps8,5,0.0,1.0,0.0,8.457550783551394,14.779904423123858,31.21891139308845,nan,0.3262398710702131,174.55852528451672,0.42943669403000445
severe_uncertainty,projected_velocity_steps8,5,0.0,1.0,0.0,7.364217908624349,10.316971577336936,21.429097084119014,nan,0.31383661257317474,170.51031685633419,0.135561665378861
severe_uncertainty,proposed_robust_steps1,5,0.0,1.0,0.0,8.149586479485432,13.511143570375808,31.25290186654671,nan,0.26023533747295524,170.3296215496152,0.5270111357806524
severe_uncertainty,proposed_robust_steps8,5,0.2,1.0,0.0,5.36864320520991,11.355803839966859,27.32851602670923,0.06693685144919614,0.14446422151854324,170.53357594233256,0.014178688721318632
severe_uncertainty,quintic_skeleton,5,0.0,1.0,0.0,7.732742332392554,10.67021416351461,24.748775332123788,nan,0.2257436831548693,156.75498890942217,0.13107177786541457
