method,samples,both_pass_rate,collision_rate,margin_violation_rate,mean_minimum_separation_m,worst_minimum_separation_m,mean_start_error_m,mean_goal_error_m,mean_expert_rmse_m,mean_maximum_speed_mps,mean_maximum_acceleration_mps2,mean_hocbf_intervention_rate,mean_hocbf_correction,batch_sampling_ms_per_trajectory
nash_reference,256,1.0,0.0,0.99609375,0.30424261358473453,0.27648442625764486,0.0,0.0,0.01853203585415031,1.332404667045921,2.0030841208063066,0.0,0.0,0.0
teacher_expert,256,1.0,0.0,0.00390625,0.40827052571219913,0.3524720153461135,0.0,0.025668541846243897,0.0,1.3415523832663894,1.9985428424552083,0.0,0.0,0.0
game_cfm_raw,256,1.0,0.0,0.39453125,0.3702364815352751,0.29306651782064275,0.003109495214630442,0.024629257475680788,0.021984715895086993,1.358088216278702,2.1268492699600756,0.0,0.0,33.182700390170794
game_cfm_anchored,256,1.0,0.0,0.39453125,0.36773055028468365,0.29703279496036955,0.0,0.0,0.01834521669301315,1.357730896649798,2.1268492711331377,0.0,0.0,33.182700390170794
nash_reference_hocbf,256,1.0,0.0,0.0,0.5814035377028444,0.3705999603760437,0.0,0.04766297058155776,0.03915785438315909,1.3445298419937348,1.9278028393832554,0.6622192604355717,0.7949961165313295,0.0
game_cfm_hocbf,256,1.0,0.0,0.0,0.5817651024799589,0.3705999603760437,0.0,0.047890673496836865,0.04064887799483594,1.3524613696093184,1.9586122733297278,0.6180878516333939,0.7389872970725211,33.182700390170794
