candidates,ode_steps,queries,median_ms,p95_ms,p99_ms,maximum_ms
1,16,64,63.27369995415211,76.79859001655129,78.78550403751433,79.97570000588894
4,8,64,83.96910014562309,92.23090993473306,96.00938808172941,96.81100002489984
8,16,64,252.37960007507354,288.3116699405945,308.30509603954846,319.3432001862675
