method,ode_steps,queries,median_ms,p95_ms,p99_ms,mean_ms,std_ms,success_rate
boundary_trajectory,1,128,4.074949999999999,5.6624,6.371565000000003,4.251503125,0.8038129876067416,0.0
boundary_trajectory,4,128,12.066600000000001,16.723,17.843052,12.924225781250001,2.114170338798669,0.0
boundary_trajectory,8,128,23.2107,29.993184999999997,32.256640000000004,23.813610937500002,3.234702449488952,0.0
boundary_trajectory,16,128,45.59455,55.68999999999999,57.928344,46.550526562499996,4.725096597479183,0.0
projected_velocity,1,128,3.8885,5.2511849999999995,5.891549,3.99574609375,0.8750019010015204,0.0
projected_velocity,4,128,12.213049999999999,18.385215,29.298298000000027,13.213551562500001,3.583940103241067,0.6015625
projected_velocity,8,128,21.91965,27.80867,29.091663000000004,22.4543453125,2.4416575330698516,0.703125
projected_velocity,16,128,45.6678,55.01131999999999,58.20188,46.29654296875,4.891586134296473,0.7109375
proposed_safe,1,128,187.3897,209.07154,217.68130200000002,188.533896875,11.060468753126505,1.0
proposed_safe,4,128,628.6438499999999,709.14387,762.4642040000001,637.6092625,41.03444330173696,1.0
proposed_safe,8,128,1169.63755,1382.7609999999995,1440.572867,1192.9211312500001,88.45591764559548,1.0
proposed_safe,16,128,2386.5553,2639.1315999999997,2699.475489,2397.79812578125,138.15744455437311,1.0
quintic_skeleton,0,128,0.23085,0.354165,0.404171,0.2475328125,0.05794988482372227,1.0
