method,ode_steps,query_index,latency_ms,success,maximum_speed,maximum_acceleration
quintic_skeleton,0,0,0.1981,1,1.5356695018452138,1.097588819982048
quintic_skeleton,0,1,0.2067,1,1.795929688900892,1.2296747327816235
quintic_skeleton,0,2,0.1998,1,1.1987298449231512,0.6326301407279208
quintic_skeleton,0,3,0.2088,1,1.1978177180145946,0.7255862237280561
quintic_skeleton,0,4,0.1972,1,1.2867960229389204,0.7250862053029874
quintic_skeleton,0,5,0.2102,1,1.3244457589255683,0.8105515153103439
quintic_skeleton,0,6,0.1921,1,1.3067726929544208,0.6731223553414297
quintic_skeleton,0,7,0.1837,1,1.2815173836195188,0.8032299991522596
quintic_skeleton,0,8,0.1886,1,1.1757002105099408,0.6799152929145684
quintic_skeleton,0,9,0.1915,1,1.7994802958856417,1.28231794806035
quintic_skeleton,0,10,0.1916,1,0.9970438272478653,0.5400992556990377
quintic_skeleton,0,11,0.1907,1,1.0971836924563736,0.5772395684946311
quintic_skeleton,0,12,0.2315,1,1.2515679203192052,0.664018475924988
quintic_skeleton,0,13,0.2025,1,1.1931499039155753,0.7017872787410018
quintic_skeleton,0,14,0.1907,1,1.6938971594860983,1.2472193479194214
quintic_skeleton,0,15,0.1942,1,1.330604508361187,0.7865520854887152
boundary_trajectory,1,0,3.3331,0,28.810250322341684,496.27990423523147
boundary_trajectory,1,1,3.2906,0,15.434888375458712,301.0988532942231
boundary_trajectory,1,2,3.2506,0,12.807919832556392,191.74834650973287
boundary_trajectory,1,3,3.1988,0,14.326336467300777,251.39219427344085
boundary_trajectory,1,4,3.1862,0,16.569298085024357,219.50453156348036
boundary_trajectory,1,5,3.2122,0,21.864730158743267,341.7845167555005
boundary_trajectory,1,6,3.1842,0,11.16104341389001,177.10757496405222
boundary_trajectory,1,7,3.3024,0,18.500349755233916,296.9725205069945
boundary_trajectory,1,8,3.1841,0,13.359879582184812,222.04839494074133
boundary_trajectory,1,9,3.361,0,23.345287474513608,439.5030557402683
boundary_trajectory,1,10,3.2884,0,12.76194719298376,167.44089118565657
boundary_trajectory,1,11,3.431,0,18.379917708786333,243.93809885933123
boundary_trajectory,1,12,3.6054,0,19.346687263743323,242.32698926366263
boundary_trajectory,1,13,3.9333,0,15.371337410688902,207.30688275721874
boundary_trajectory,1,14,3.7684,0,26.335030298039385,402.510920259793
boundary_trajectory,1,15,3.6545,0,26.086930958701224,397.93586159357125
boundary_trajectory,8,0,19.6571,0,4.7149595810461085,44.71257781756185
boundary_trajectory,8,1,20.6158,0,7.317492385221918,45.31465341333907
boundary_trajectory,8,2,19.5765,0,2.5885270495878414,14.074386128020231
boundary_trajectory,8,3,19.4905,0,4.746572996136403,50.078049414565335
boundary_trajectory,8,4,19.2937,0,2.98157687028008,18.347216080183347
boundary_trajectory,8,5,19.4047,0,4.1468518747704595,26.256468089569918
boundary_trajectory,8,6,19.7705,0,5.450064234192688,18.615134025796763
boundary_trajectory,8,7,19.6901,0,3.870310189754733,22.726204137372154
boundary_trajectory,8,8,19.6088,0,2.888466583168802,21.445241869319997
boundary_trajectory,8,9,19.9618,0,4.836631142963903,86.05096218743446
boundary_trajectory,8,10,19.814,0,2.8476559163705235,19.577038974512334
boundary_trajectory,8,11,19.713,0,2.4541982947333287,14.333037252821034
boundary_trajectory,8,12,20.5178,0,4.590295900366607,20.60189806078216
boundary_trajectory,8,13,19.7964,0,2.1105026780495835,13.882202852290655
boundary_trajectory,8,14,19.9948,0,7.660691188554194,47.85978491899125
boundary_trajectory,8,15,20.3498,0,4.582031250504704,34.88084909694718
projected_velocity,1,0,3.0006,0,1.3714556240697562,8.136415826198904
projected_velocity,1,1,2.9415,0,1.6229719447793367,11.02649205623951
projected_velocity,1,2,2.9029,0,1.2513022143738286,6.589120003360336
projected_velocity,1,3,2.8997,0,1.3128506838518565,7.827059204678997
projected_velocity,1,4,2.8163,0,1.2964600054891022,7.206205808263885
projected_velocity,1,5,2.9077,0,1.307300353921006,6.848000309758758
projected_velocity,1,6,2.8902,0,1.2823776379551424,8.442319425454155
projected_velocity,1,7,2.8687,0,1.1527502411792165,7.798733381310466
projected_velocity,1,8,2.8465,0,1.147185717589171,7.631422666220798
projected_velocity,1,9,2.8054,0,1.5153198657677687,10.505324447696047
projected_velocity,1,10,2.869,0,1.005959831375371,6.938632010308171
projected_velocity,1,11,2.8571,0,1.0816171176862808,6.2210977611753115
projected_velocity,1,12,2.9162,0,1.1674723412766326,9.816263079367328
projected_velocity,1,13,3.0292,0,1.183342578440943,6.99640026808851
projected_velocity,1,14,3.5327,0,1.4975626788746332,10.232848709808533
projected_velocity,1,15,3.3174,0,1.2104725497822706,7.521207778068628
projected_velocity,8,0,19.8549,0,1.313619328791887,3.719956472238371
projected_velocity,8,1,20.4945,1,1.589594430618796,2.8686707978663715
projected_velocity,8,2,20.2178,1,1.1463940185769408,1.5350938355241928
projected_velocity,8,3,20.724,1,1.1628835447597228,1.64756741532452
projected_velocity,8,4,20.1309,1,1.0897661603671789,1.6154441738876895
projected_velocity,8,5,20.1245,1,1.1815297288270359,2.338398238321447
projected_velocity,8,6,20.2684,1,1.0746241553956153,1.9505888441149744
projected_velocity,8,7,20.1846,1,1.0277278375671852,2.0291880546924275
projected_velocity,8,8,19.6631,1,1.1030496630007458,2.12895165784377
projected_velocity,8,9,19.8981,0,1.6097152656748894,7.6288604642556805
projected_velocity,8,10,19.5613,1,0.8759322929758351,1.7542931065231746
projected_velocity,8,11,19.8832,1,1.1063073901594433,1.4627957798049982
