metric,paired_samples,proposed_minus_baseline_mean,ci95_lower,ci95_upper
minimum_separation_m,256,0.016766045755636196,0.015200875301213865,0.01834666857321204
margin_violation,256,-0.00390625,-0.01171875,0.0
hocbf_intervention_rate,256,-0.023650181488203265,-0.026358503005898367,-0.020991662885662433
mean_hocbf_correction,256,-0.14722148805224136,-0.16680108027143256,-0.12810637832721883
expert_rmse_m,256,0.008977951377437902,0.008681560829747711,0.009273166951990498
goal_error_m,256,9.569756453922201e-05,-2.663809499509241e-05,0.00021574527825905037
maximum_acceleration_mps2,256,0.03771328414374121,0.02636354175143222,0.049600369531103125
